experiment,model_key,output_dir,best_checkpoint,macro_f1,accuracy
Exp_ID_1,llama3.1-8b-Instruct,results/AM/Exp_ID_1/llama3.1-8b-Instruct_lora-r128-a128,checkpoint-210,0.8390,0.8429
Exp_OOD_1,llama3.1-8b-Instruct,results/AM/Exp_OOD_1/llama3.1-8b-Instruct_lora-r128-a128,checkpoint-228,0.3407,0.5970
Exp_ID_2,llama3.1-8b-Instruct,results/AM/Exp_ID_2/llama3.1-8b-Instruct_lora-r128-a128,checkpoint-195,0.8497,0.8560
Exp_OOD_2,llama3.1-8b-Instruct,results/AM/Exp_OOD_2/llama3.1-8b-Instruct_lora-r128-a128,checkpoint-270,0.2627,0.2679
Exp_ID_3,llama3.1-8b-Instruct,results/AM/Exp_ID_3/llama3.1-8b-Instruct_lora-r128-a128,checkpoint-156,0.8210,0.8406
Exp_OOD_3,llama3.1-8b-Instruct,results/AM/Exp_OOD_3/llama3.1-8b-Instruct_lora-r128-a128,checkpoint-225,0.3250,0.3899
Exp_ID_4,llama3.1-8b-Instruct,results/AM/Exp_ID_4/llama3.1-8b-Instruct_lora-r128-a128,checkpoint-195,0.7073,0.7156
Exp_OOD_4,llama3.1-8b-Instruct,results/AM/Exp_OOD_4/llama3.1-8b-Instruct_lora-r128-a128,checkpoint-192,0.4006,0.6329
Exp_ID_1,Qwen2.5-14B-Instruct,results/AM/Exp_ID_1/Qwen2.5-14B-Instruct_lora-r128-a128,checkpoint-240,0.8686,0.8697
Exp_OOD_1,Qwen2.5-14B-Instruct,results/AM/Exp_OOD_1/Qwen2.5-14B-Instruct_lora-r128-a128,checkpoint-304,0.4353,0.6269
Exp_ID_2,Qwen2.5-14B-Instruct,results/AM/Exp_ID_2/Qwen2.5-14B-Instruct_lora-r128-a128,checkpoint-225,0.8793,0.8920
Exp_OOD_2,Qwen2.5-14B-Instruct,results/AM/Exp_OOD_2/Qwen2.5-14B-Instruct_lora-r128-a128,checkpoint-180,0.2948,0.3209
Exp_ID_3,Qwen2.5-14B-Instruct,results/AM/Exp_ID_3/Qwen2.5-14B-Instruct_lora-r128-a128,checkpoint-168,0.8607,0.8792
Exp_OOD_3,Qwen2.5-14B-Instruct,results/AM/Exp_OOD_3/Qwen2.5-14B-Instruct_lora-r128-a128,checkpoint-135,0.4255,0.5299
Exp_ID_4,Qwen2.5-14B-Instruct,results/AM/Exp_ID_4/Qwen2.5-14B-Instruct_lora-r128-a128,checkpoint-169,0.8787,0.8622
Exp_OOD_4,Qwen2.5-14B-Instruct,results/AM/Exp_OOD_4/Qwen2.5-14B-Instruct_lora-r128-a128,checkpoint-192,0.4228,0.6239
Exp_ID_1,Qwen3-30B-A3B-Thinking-2507,results/AM/Exp_ID_1/Qwen3-30B-Thinking_no_ft,base_model,0.1413,0.3716
Exp_OOD_1,Qwen3-30B-A3B-Thinking-2507,results/AM/Exp_OOD_1/Qwen3-30B-Thinking_no_ft,base_model,0.1889,0.5634
Exp_ID_2,Qwen3-30B-A3B-Thinking-2507,results/AM/Exp_ID_2/Qwen3-30B-Thinking_no_ft,base_model,0.1661,0.4680
Exp_OOD_2,Qwen3-30B-A3B-Thinking-2507,results/AM/Exp_OOD_2/Qwen3-30B-Thinking_no_ft,base_model,0.0837,0.1900
Exp_ID_3,Qwen3-30B-A3B-Thinking-2507,results/AM/Exp_ID_3/Qwen3-30B-Thinking_no_ft,base_model,0.1623,0.4783
Exp_OOD_3,Qwen3-30B-A3B-Thinking-2507,results/AM/Exp_OOD_3/Qwen3-30B-Thinking_no_ft,base_model,0.1185,0.2687
Exp_ID_4,Qwen3-30B-A3B-Thinking-2507,results/AM/Exp_ID_4/Qwen3-30B-Thinking_no_ft,base_model,0.1222,0.3022
Exp_OOD_4,Qwen3-30B-A3B-Thinking-2507,results/AM/Exp_OOD_4/Qwen3-30B-Thinking_no_ft,base_model,0.1962,0.6441
