Power,Velocity,Material,Hatch spacing,Sub-process,beam D,layer thickness,Cp,k,meltpool shape,defect_label,depth of melt pool,width of melt pool,length of melt pool
285,960,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
100,200,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
100,400,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
150,400,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
150,600,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
150,800,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
200,600,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
200,800,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
200,1000,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
250,600,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
250,800,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
250,1000,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
300,600,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
370,1000,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
100,200,IN718,,SLM,100,,435,11.2,desirable,0,,,
100,400,IN718,,SLM,100,,435,11.2,desirable,0,,,
150,400,IN718,,SLM,100,,435,11.2,desirable,0,,,
150,600,IN718,,SLM,100,,435,11.2,desirable,0,,,
150,800,IN718,,SLM,100,,435,11.2,desirable,0,,,
200,600,IN718,,SLM,100,,435,11.2,desirable,0,,,
200,800,IN718,,SLM,100,,435,11.2,desirable,0,,,
200,1000,IN718,,SLM,100,,435,11.2,desirable,0,,,
250,600,IN718,,SLM,100,,435,11.2,desirable,0,,,
250,800,IN718,,SLM,100,,435,11.2,desirable,0,,,
250,1000,IN718,,SLM,100,,435,11.2,desirable,0,,,
280,950,IN718,,SLM,100,,435,11.2,desirable,0,,,
300,600,IN718,,SLM,100,,435,11.2,desirable,0,,,
370,1000,IN718,,SLM,100,,435,11.2,desirable,0,,,
250,600,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
100,400,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
200,950,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
240,800,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
280,950,IN718,500,SLM,100,70,435,11.2,desirable,0,,,
150,800,IN718,,SLM,,40,435,11.2,desirable,0,,,
225,800,IN718,,SLM,,40,435,11.2,desirable,0,,,
300,800,IN718,,SLM,,40,435,11.2,desirable,0,,,
200,1000,IN718,,SLM,74,40,435,11.2,desirable,0,,,
250,1500,IN718,,SLM,74,40,435,11.2,desirable,0,,,
