Material,Power,Velocity,beam D,layer thickness,Hatch spacing,meltpool shape
IN718,285.0,960,100.0,70.0,500.0,desirable
IN718,100.0,200,100.0,70.0,500.0,desirable
IN718,100.0,400,100.0,70.0,500.0,desirable
IN718,150.0,400,100.0,70.0,500.0,desirable
IN718,150.0,600,100.0,70.0,500.0,desirable
IN718,150.0,800,100.0,70.0,500.0,desirable
IN718,200.0,600,100.0,70.0,500.0,desirable
IN718,200.0,800,100.0,70.0,500.0,desirable
IN718,200.0,1000,100.0,70.0,500.0,desirable
IN718,250.0,600,100.0,70.0,500.0,desirable
IN718,250.0,800,100.0,70.0,500.0,desirable
IN718,250.0,1000,100.0,70.0,500.0,desirable
IN718,300.0,600,100.0,70.0,500.0,desirable
IN718,370.0,1000,100.0,70.0,500.0,desirable
IN718,100.0,200,100.0,50.0,80.0,desirable
IN718,100.0,400,100.0,30.0,80.0,desirable
IN718,150.0,400,100.0,40.0,80.0,desirable
IN718,150.0,600,100.0,30.0,70.0,desirable
IN718,150.0,800,100.0,25.0,75.0,desirable
IN718,200.0,600,100.0,40.0,80.0,desirable
IN718,200.0,800,100.0,35.0,70.0,desirable
IN718,200.0,1000,100.0,30.0,70.0,desirable
IN718,250.0,600,100.0,40.0,80.0,desirable
IN718,250.0,800,100.0,40.0,80.0,desirable
IN718,250.0,1000,100.0,30.0,80.0,desirable
IN718,280.0,950,100.0,35.0,80.0,desirable
IN718,300.0,600,100.0,50.0,80.0,desirable
IN718,370.0,1000,100.0,40.0,80.0,desirable
IN718,250.0,600,100.0,70.0,500.0,desirable
IN718,100.0,400,100.0,70.0,500.0,desirable
IN718,200.0,950,100.0,70.0,500.0,desirable
IN718,240.0,800,100.0,70.0,500.0,desirable
IN718,280.0,950,100.0,70.0,500.0,desirable
IN718,150.0,800,70.0,40.0,49.0,desirable
IN718,225.0,800,0.08,40.0,0.064,desirable
IN718,300.0,800,100.0,40.0,70.0,desirable
IN718,200.0,1000,74.0,40.0,51.8,desirable
IN718,250.0,1500,74.0,40.0,40.0,desirable
IN718,180.0,1000,50.0,25.0,58.0,desirable
IN718,250.0,600,100.0,70.0,500.0,desirable
IN718,100.0,400,100.0,70.0,500.0,desirable
IN718,180.0,800,100.0,70.0,500.0,desirable
