Power,Velocity,Material,Hatch spacing,Sub-process,beam D,layer thickness,Cp,k,meltpool shape,defect_label,depth of melt pool,width of melt pool,length of melt pool
250,1100,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
250,1400,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
250,1900,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
380,1900,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
380,2400,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
380,3000,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
380,3800,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
160,1000,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
160,1500,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
160,2000,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
300,1500,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
300,2000,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
300,2500,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
300,3000,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
400,1800,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
400,2500,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
400,3000,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
400,3500,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
400,4000,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
450,1900,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
450,2500,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
450,3000,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
450,3500,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
450,4000,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
450,4300,SS17-4PH,,SLM,50,,460,17.9,desirable,0,,,
220,1000,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
220,1500,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
220,1800,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
300,1200,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
300,1500,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
300,2000,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
300,2400,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
400,1500,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
400,2000,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
400,2500,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
400,3000,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
400,3200,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
500,1800,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
500,2000,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
500,2500,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
500,3000,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
500,3500,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
500,4000,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
500,4200,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
550,1900,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
550,2500,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
550,3000,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
550,3500,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
550,4000,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
550,4800,SS17-4PH,,SLM,100,,460,17.9,desirable,0,,,
100,400,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,,,
100,500,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,,,
100,600,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,,,
100,700,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,,,
100,800,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,,,
100,900,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,,,
100,1000,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,,,
100,1200,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,,,
150,600,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,,,
150,800,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,,,
150,1000,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,,,
150,1200,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,,,
200,800,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,,,
200,1000,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,,,
900,400,SS17-4PH,,SLM,240,50,460,17.9,desirable,0,,,
900,500,SS17-4PH,,SLM,240,50,460,17.9,desirable,0,,,
170,600,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,,,
170,700,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,,,
170,800,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,,,
170,900,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,,,
170,1000,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,,,
195,600,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,,,
195,700,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,,,
195,800,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,,,
220,600,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,,,
220,700,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,,,
220,800,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,,,
100,400,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,102,128,230
100,500,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,40,107,226
100,600,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,36,90,223
100,700,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,33,80,219
100,800,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,30,75,215
100,900,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,26,70,213
100,1000,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,22,68,209
100,1200,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,21,65,205
150,600,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,100,140,300
150,800,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,60,110,292
150,1000,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,50,80,285
150,1200,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,43,78,278
200,800,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,105,125,400
200,1000,SS17-4PH,,SLM,80,50,460,17.9,desirable,0,75,100,390
900,400,SS17-4PH,,SLM,240,50,460,17.9,desirable,0,195,358,1220
900,500,SS17-4PH,,SLM,240,50,460,17.9,desirable,0,175,340,1200
170,600,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,72,130,
170,700,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,61,118,
170,800,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,54,110,
170,900,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,46,102,
170,1000,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,42,101,
195,600,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,102,136,
195,700,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,85,130,
195,800,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,73,122,
220,600,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,123,140,
220,700,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,103,135,
220,800,SS17-4PH,,SLM,100,20,460,17.9,desirable,0,91,126,
45,400,SS17-4PH,,SLM,,,460,17.9,LOF,1,,,
45,900,SS17-4PH,,SLM,,,460,17.9,LOF,1,,,
45,1400,SS17-4PH,,SLM,,,460,17.9,LOF,1,,,
45,1900,SS17-4PH,,SLM,,,460,17.9,LOF,1,,,
45,2400,SS17-4PH,,SLM,,,460,17.9,LOF,1,,,
45,2900,SS17-4PH,,SLM,,,460,17.9,LOF,1,,,
45,3400,SS17-4PH,,SLM,,,460,17.9,LOF,1,,,
130,1900,SS17-4PH,,SLM,,,460,17.9,LOF,1,,,
130,2400,SS17-4PH,,SLM,,,460,17.9,LOF,1,,,
130,2900,SS17-4PH,,SLM,,,460,17.9,LOF,1,,,
130,3400,SS17-4PH,,SLM,,,460,17.9,LOF,1,,,
220,2400,SS17-4PH,,SLM,,,460,17.9,LOF,1,,,
220,2900,SS17-4PH,,SLM,,,460,17.9,LOF,1,,,
220,3400,SS17-4PH,,SLM,,,460,17.9,LOF,1,,,
80,400,SS17-4PH,,SLM,50,,460,17.9,LOF,1,,,
80,600,SS17-4PH,,SLM,50,,460,17.9,LOF,1,,,
80,800,SS17-4PH,,SLM,50,,460,17.9,LOF,1,,,
