Power,Velocity,Material,Hatch spacing,Sub-process,beam D,layer thickness,Cp,k,meltpool shape,defect_label,depth of melt pool,width of melt pool,length of melt pool
100,100,SS316L,240,SLM,35,80,500,16.3,desirable,0,,,
100,500,SS316L,110,SLM,35,36.66666667,500,16.3,desirable,0,,,
100,1000,SS316L,75,SLM,35,25,500,16.3,desirable,0,,,
100,1500,SS316L,60,SLM,35,20,500,16.3,desirable,0,,,
100,2000,SS316L,51,SLM,35,17,500,16.3,desirable,0,,,
100,2500,SS316L,48,SLM,35,16,500,16.3,desirable,0,,,
150,100,SS316L,292,SLM,35,97.33333333,500,16.3,desirable,0,,,
150,500,SS316L,130,SLM,35,43.33333333,500,16.3,desirable,0,,,
150,1000,SS316L,92,SLM,35,30.66666667,500,16.3,desirable,0,,,
150,1500,SS316L,75,SLM,35,25,500,16.3,desirable,0,,,
150,2000,SS316L,68,SLM,35,22.66666667,500,16.3,desirable,0,,,
150,2500,SS316L,60,SLM,35,20,500,16.3,desirable,0,,,
200,100,SS316L,337,SLM,35,112.3333333,500,16.3,desirable,0,,,
200,500,SS316L,150,SLM,35,50,500,16.3,desirable,0,,,
200,1000,SS316L,110,SLM,35,35,500,16.3,desirable,0,,,
200,1500,SS316L,87,SLM,35,29,500,16.3,desirable,0,,,
200,2000,SS316L,75,SLM,35,25,500,16.3,desirable,0,,,
200,2500,SS316L,70,SLM,35,23.33333333,500,16.3,desirable,0,,,
250,100,SS316L,375,SLM,35,125,500,16.3,desirable,0,,,
250,500,SS316L,170,SLM,35,56.66666667,500,16.3,desirable,0,,,
250,1000,SS316L,120,SLM,35,40,500,16.3,desirable,0,,,
250,1500,SS316L,100,SLM,35,33.33333333,500,16.3,desirable,0,,,
250,2000,SS316L,83,SLM,35,27.66666667,500,16.3,desirable,0,,,
250,2500,SS316L,75,SLM,35,25,500,16.3,desirable,0,,,
300,100,SS316L,400,SLM,35,133.3333333,500,16.3,desirable,0,,,
300,500,SS316L,183,SLM,35,61,500,16.3,desirable,0,,,
300,1000,SS316L,130,SLM,35,43.33333333,500,16.3,desirable,0,,,
300,1500,SS316L,108,SLM,35,36,500,16.3,desirable,0,,,
300,2000,SS316L,92,SLM,35,30.66666667,500,16.3,desirable,0,,,
300,2500,SS316L,82,SLM,35,27.33333333,500,16.3,desirable,0,,,
100,100,SS316L,240,SLM,35,80,500,16.3,desirable,0,120,240,135
100,500,SS316L,110,SLM,35,36.66666667,500,16.3,desirable,0,55,110,93
100,1000,SS316L,75,SLM,35,25,500,16.3,desirable,0,37.5,75,80
150,100,SS316L,292,SLM,35,97.33333333,500,16.3,desirable,0,146,292,180
150,500,SS316L,130,SLM,35,43.33333333,500,16.3,desirable,0,65,130,123
150,1000,SS316L,92,SLM,35,30.66666667,500,16.3,desirable,0,46,92,105
200,100,SS316L,337,SLM,35,112.3333333,500,16.3,desirable,0,168.5,337,227
200,500,SS316L,150,SLM,35,50,500,16.3,desirable,0,75,150,150
200,1500,SS316L,87,SLM,35,29,500,16.3,desirable,0,43.5,87,118
250,100,SS316L,375,SLM,35,125,500,16.3,desirable,0,187.5,375,270
250,500,SS316L,170,SLM,35,56.66666667,500,16.3,desirable,0,85,170,180
250,1000,SS316L,120,SLM,35,40,500,16.3,desirable,0,60,120,152
300,100,SS316L,400,SLM,35,133.3333333,500,16.3,desirable,0,200,400,317
300,500,SS316L,183,SLM,35,61,500,16.3,desirable,0,91.5,183,208
100,800,SS316L,105,SLM,37.5,30,500,16.3,desirable,0,,,
100,700,SS316L,105,SLM,37.5,30,500,16.3,desirable,0,49.14,79,
