Power,Velocity,Material,Hatch spacing,Sub-process,beam D,layer thickness,Cp,k,meltpool shape,defect_label,depth of melt pool,width of melt pool,length of melt pool
175,1050,Ti-6Al-4V,,SLM,20,35,561.5,7.2,desirable,0,,,
175,1250,Ti-6Al-4V,,SLM,20,35,561.5,7.2,desirable,0,,,
175,1450,Ti-6Al-4V,,SLM,20,35,561.5,7.2,desirable,0,,,
175,1050,Ti-6Al-4V,,SLM,20,35,561.5,7.2,desirable,0,,150,
175,1250,Ti-6Al-4V,,SLM,20,35,561.5,7.2,desirable,0,,116,
175,1450,Ti-6Al-4V,,SLM,20,35,561.5,7.2,desirable,0,,104,
200,1500,Ti-6Al-4V,,SLM,20,20,561.5,7.2,desirable,0,,,
200,1500,Ti-6Al-4V,,SLM,20,20,561.5,7.2,desirable,0,50,68,168
250,2000,Ti-6Al-4V,,SLM,20,20,561.5,7.2,desirable,0,,,
250,2000,Ti-6Al-4V,,SLM,20,20,561.5,7.2,desirable,0,52,95,278
100,500,Ti-6Al-4V,101.010101,SLM,30,30,561.5,7.2,desirable,0,,,
100,500,Ti-6Al-4V,101.010101,SLM,30,30,561.5,7.2,desirable,0,45,118,
150,500,Ti-6Al-4V,100,SLM,30,30,561.5,7.2,desirable,0,,,
150,750,Ti-6Al-4V,101.010101,SLM,30,30,561.5,7.2,desirable,0,,,
150,1000,Ti-6Al-4V,100,SLM,30,30,561.5,7.2,desirable,0,,,
150,500,Ti-6Al-4V,100,SLM,30,30,561.5,7.2,desirable,0,102,145,
150,750,Ti-6Al-4V,101.010101,SLM,30,30,561.5,7.2,desirable,0,72,135,
150,1000,Ti-6Al-4V,100,SLM,30,30,561.5,7.2,desirable,0,53,116,
195,1000,Ti-6Al-4V,100,SLM,30,30,561.5,7.2,desirable,0,,,
195,1200,Ti-6Al-4V,100.308642,SLM,30,30,561.5,7.2,desirable,0,,,
195,1000,Ti-6Al-4V,100,SLM,30,30,561.5,7.2,desirable,0,81,130,
195,1200,Ti-6Al-4V,100.308642,SLM,30,30,561.5,7.2,desirable,0,65,122,
40,200,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,,,
40,200,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,52,,250
80,400,Ti-6Al-4V,,SLM,39,60,561.5,7.2,desirable,0,,,
80,200,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,,,
80,400,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,,,
80,600,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,,,
80,800,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,,,
80,200,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,108,,1200
80,400,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,62,,600
80,600,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,43,,370
80,800,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,35,,280
120,400,Ti-6Al-4V,,SLM,39,60,561.5,7.2,desirable,0,,,
120,400,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,,,
120,600,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,,,
120,800,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,,,
120,1000,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,,,
120,1200,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,,,
120,400,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,91,,1250
120,600,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,62,,850
120,800,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,50,,720
120,1000,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,40,,550
120,1200,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,35,,450
160,400,Ti-6Al-4V,,SLM,39,60,561.5,7.2,desirable,0,,,
160,400,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,,,
160,600,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,,,
160,800,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,,,
160,1000,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,,,
160,1200,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,,,
160,1400,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,,,
160,400,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,117,,2300
160,600,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,83,,1550
160,800,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,63,,1200
160,1000,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,52,,995
160,1200,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,46,,780
160,1400,Ti-6Al-4V,,SLM,39,30,561.5,7.2,desirable,0,40,,700
120,400,Ti-6Al-4V,,SLM,95,,561.5,7.2,desirable,0,,,
120,400,Ti-6Al-4V,,SLM,95,,561.5,7.2,desirable,0,80,,
150,1200,Ti-6Al-4V,,SLM,95,,561.5,7.2,desirable,0,,,
150,600,Ti-6Al-4V,,SLM,95,,561.5,7.2,desirable,0,,,
150,700,Ti-6Al-4V,,SLM,95,,561.5,7.2,desirable,0,,,
150,900,Ti-6Al-4V,,SLM,95,,561.5,7.2,desirable,0,,,
150,1200,Ti-6Al-4V,,SLM,95,,561.5,7.2,desirable,0,,,
150,600,Ti-6Al-4V,,SLM,95,,561.5,7.2,desirable,0,75,,
150,700,Ti-6Al-4V,,SLM,95,,561.5,7.2,desirable,0,65,,
150,900,Ti-6Al-4V,,SLM,95,,561.5,7.2,desirable,0,60,,
150,1200,Ti-6Al-4V,,SLM,95,,561.5,7.2,desirable,0,30,,
280,1200,Ti-6Al-4V,140,SLM,100,30,561.5,7.2,desirable,0,,,
280,800,Ti-6Al-4V,140,SLM,100,30,561.5,7.2,desirable,0,,,
280,1000,Ti-6Al-4V,140,SLM,100,30,561.5,7.2,desirable,0,,,
280,1500,Ti-6Al-4V,80,SLM,100,30,561.5,7.2,desirable,0,,,
280,1200,Ti-6Al-4V,40,SLM,100,30,561.5,7.2,desirable,0,,,
280,1200,Ti-6Al-4V,140,SLM,100,30,561.5,7.2,desirable,0,84,,
280,800,Ti-6Al-4V,140,SLM,100,30,561.5,7.2,desirable,0,102,,
280,1000,Ti-6Al-4V,140,SLM,100,30,561.5,7.2,desirable,0,92,,
280,1500,Ti-6Al-4V,80,SLM,100,30,561.5,7.2,desirable,0,75,,
280,1200,Ti-6Al-4V,160,SLM,100,30,561.5,7.2,desirable,0,84,,
280,1200,Ti-6Al-4V,40,SLM,100,30,561.5,7.2,desirable,0,84,,
300,1200,Ti-6Al-4V,40,SLM,100,30,561.5,7.2,desirable,0,71,,
300,2000,Ti-6Al-4V,40,SLM,100,30,561.5,7.2,desirable,0,38,,
325,1200,Ti-6Al-4V,140,SLM,100,30,561.5,7.2,desirable,0,,,
325,1200,Ti-6Al-4V,140,SLM,100,30,561.5,7.2,desirable,0,90,,
370,1200,Ti-6Al-4V,140,SLM,100,30,561.5,7.2,desirable,0,,,
370,1200,Ti-6Al-4V,140,SLM,100,30,561.5,7.2,desirable,0,96,,
160,700,Ti-6Al-4V,,SLM,140,,561.5,7.2,desirable,0,20,,
210,1000,Ti-6Al-4V,,SLM,140,,561.5,7.2,desirable,0,20,,
230,1000,Ti-6Al-4V,,SLM,140,,561.5,7.2,desirable,0,25,,
260,1000,Ti-6Al-4V,,SLM,140,,561.5,7.2,desirable,0,38,,
280,1000,Ti-6Al-4V,,SLM,140,,561.5,7.2,desirable,0,35,,
320,1000,Ti-6Al-4V,,SLM,140,,561.5,7.2,desirable,0,50,,
100,2000,Ti-6Al-4V,,SLM,20,20,561.5,7.2,LOF,1,,,
100,2000,Ti-6Al-4V,,SLM,20,20,561.5,7.2,LOF,1,11,24,70
150,2000,Ti-6Al-4V,,SLM,20,20,561.5,7.2,LOF,1,,,
150,2000,Ti-6Al-4V,,SLM,20,20,561.5,7.2,LOF,1,30,60,180
200,2000,Ti-6Al-4V,,SLM,20,20,561.5,7.2,LOF,1,,,
200,2000,Ti-6Al-4V,,SLM,20,20,561.5,7.2,LOF,1,43,73,245
50,500,Ti-6Al-4V,101.010101,SLM,30,30,561.5,7.2,LOF,1,,,
50,750,Ti-6Al-4V,101.010101,SLM,30,30,561.5,7.2,LOF,1,,,
50,1000,Ti-6Al-4V,104.1666667,SLM,30,30,561.5,7.2,LOF,1,,,
50,500,Ti-6Al-4V,101.010101,SLM,30,30,561.5,7.2,LOF,1,16,68,
50,750,Ti-6Al-4V,101.010101,SLM,30,30,561.5,7.2,LOF,1,12,50,
50,1000,Ti-6Al-4V,104.1666667,SLM,30,30,561.5,7.2,LOF,1,10,48,
100,1000,Ti-6Al-4V,101.010101,SLM,30,30,561.5,7.2,LOF,1,,,
100,1200,Ti-6Al-4V,102.8806584,SLM,30,30,561.5,7.2,LOF,1,,,
100,750,Ti-6Al-4V,101.010101,SLM,30,30,561.5,7.2,LOF,1,32,98,
100,1000,Ti-6Al-4V,101.010101,SLM,30,30,561.5,7.2,LOF,1,24,75,
100,1200,Ti-6Al-4V,102.8806584,SLM,30,30,561.5,7.2,LOF,1,22,72,
150,1200,Ti-6Al-4V,101.6260163,SLM,30,30,561.5,7.2,LOF,1,50,108,
40,400,Ti-6Al-4V,,SLM,39,60,561.5,7.2,LOF,1,,,
40,400,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,,,
40,600,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,,,
40,800,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,,,
40,1000,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,,,
40,1200,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,,,
40,1400,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,,,
40,400,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,28,,125
40,600,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,21,,100
40,800,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,16,,80
40,1000,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,10,,50
40,1200,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,6,,25
40,1400,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,3,,15
80,1000,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,,,
80,1200,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,,,
80,1400,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,,,
80,1600,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,,,
80,1000,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,30,,250
80,1200,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,25,,230
80,1400,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,22,,200
80,1600,Ti-6Al-4V,,SLM,39,30,561.5,7.2,LOF,1,20,,180
160,1000,Ti-6Al-4V,,SLM,39,60,561.5,7.2,LOF,1,,,
40,210,Ti-6Al-4V,75,SLM,50,30,561.5,7.2,LOF,1,,,
40,210,Ti-6Al-4V,75,SLM,50,30,561.5,7.2,LOF,1,22,82,101
67.5,305,Ti-6Al-4V,87.5,SLM,50,30,561.5,7.2,LOF,1,,,
67.5,305,Ti-6Al-4V,87.5,SLM,50,30,561.5,7.2,LOF,1,29,97,118
100,400,Ti-6Al-4V,,SLM,95,,561.5,7.2,LOF,1,,,
100,700,Ti-6Al-4V,,SLM,95,,561.5,7.2,LOF,1,,,
100,400,Ti-6Al-4V,,SLM,95,,561.5,7.2,LOF,1,20,,
100,700,Ti-6Al-4V,,SLM,95,,561.5,7.2,LOF,1,20,,
