Material,Power,Velocity,beam D,layer thickness,Hatch spacing,meltpool shape
Ti-6Al-4V,175.0,1050.0,20,35.0,42.0,desirable
Ti-6Al-4V,175.0,1250.0,20,35.0,36.0,desirable
Ti-6Al-4V,175.0,1450.0,20,35.0,30.0,desirable
Ti-6Al-4V,175.0,1050.0,20,35.0,45.0,desirable
Ti-6Al-4V,175.0,1250.0,20,35.0,0.036,desirable
Ti-6Al-4V,175.0,1450.0,20,35.0,28.0,desirable
Ti-6Al-4V,200.0,1500.0,20,20.0,0.06,desirable
Ti-6Al-4V,200.0,1500.0,20,20.0,58.0,desirable
Ti-6Al-4V,250.0,2000.0,20,20.0,50.0,desirable
Ti-6Al-4V,250.0,2000.0,20,20.0,55.0,desirable
Ti-6Al-4V,100.0,500.0,30,30.0,101.010101,desirable
Ti-6Al-4V,100.0,500.0,30,30.0,101.010101,desirable
Ti-6Al-4V,150.0,500.0,30,30.0,100.0,desirable
Ti-6Al-4V,150.0,750.0,30,30.0,101.010101,desirable
Ti-6Al-4V,150.0,1000.0,30,30.0,100.0,desirable
Ti-6Al-4V,150.0,500.0,30,30.0,100.0,desirable
Ti-6Al-4V,150.0,750.0,30,30.0,101.010101,desirable
Ti-6Al-4V,150.0,1000.0,30,30.0,100.0,desirable
Ti-6Al-4V,195.0,1000.0,30,30.0,100.0,desirable
Ti-6Al-4V,195.0,1200.0,30,30.0,100.308642,desirable
Ti-6Al-4V,195.0,1000.0,30,30.0,100.0,desirable
Ti-6Al-4V,195.0,1200.0,30,30.0,100.308642,desirable
Ti-6Al-4V,40.0,200.0,39,30.0,50.0,desirable
Ti-6Al-4V,40.0,200.0,39,30.0,60.0,desirable
Ti-6Al-4V,80.0,400.0,39,60.0,31.2,desirable
Ti-6Al-4V,80.0,200.0,39,30.0,121.2,desirable
Ti-6Al-4V,80.0,400.0,39,30.0,60.0,desirable
Ti-6Al-4V,80.0,600.0,39,30.0,35.0,desirable
Ti-6Al-4V,80.0,800.0,39,30.0,30.0,desirable
Ti-6Al-4V,80.0,200.0,39,30.0,121.2,desirable
Ti-6Al-4V,80.0,400.0,39,30.0,56.0,desirable
Ti-6Al-4V,80.0,600.0,39,30.0,34.0,desirable
Ti-6Al-4V,80.0,800.0,39,30.0,31.2,desirable
Ti-6Al-4V,120.0,400.0,39,60.0,0.036,desirable
Ti-6Al-4V,120.0,400.0,39,30.0,31.2,desirable
Ti-6Al-4V,120.0,600.0,39,30.0,60.0,desirable
Ti-6Al-4V,120.0,800.0,39,30.0,35.1,desirable
Ti-6Al-4V,120.0,1000.0,39,30.0,33.0,desirable
Ti-6Al-4V,120.0,1200.0,39,30.0,31.2,desirable
Ti-6Al-4V,120.0,400.0,39,30.0,85.0,desirable
Ti-6Al-4V,120.0,600.0,39,30.0,60.0,desirable
Ti-6Al-4V,120.0,800.0,39,30.0,35.9,desirable
Ti-6Al-4V,120.0,1000.0,39,30.0,32.0,desirable
Ti-6Al-4V,120.0,1200.0,39,30.0,31.2,desirable
Ti-6Al-4V,160.0,400.0,39,60.0,55.6,desirable
Ti-6Al-4V,160.0,400.0,39,30.0,120.0,desirable
Ti-6Al-4V,160.0,600.0,39,30.0,0.080808,desirable
Ti-6Al-4V,160.0,800.0,39,30.0,60.0,desirable
Ti-6Al-4V,160.0,1000.0,39,30.0,0.0381,desirable
Ti-6Al-4V,160.0,1200.0,39,30.0,33.0,desirable
Ti-6Al-4V,160.0,1400.0,39,30.0,31.746,desirable
Ti-6Al-4V,160.0,400.0,39,30.0,100.0,desirable
Ti-6Al-4V,160.0,600.0,39,30.0,80.0,desirable
Ti-6Al-4V,160.0,800.0,39,30.0,56.0,desirable
Ti-6Al-4V,160.0,1000.0,39,30.0,35.1,desirable
Ti-6Al-4V,160.0,1200.0,39,30.0,35.0,desirable
Ti-6Al-4V,160.0,1400.0,39,30.0,31.2,desirable
Ti-6Al-4V,120.0,400.0,95,40.0,75.0,desirable
Ti-6Al-4V,120.0,400.0,95,32.9,76.0,desirable
Ti-6Al-4V,150.0,1200.0,95,20.0,67.0,desirable
Ti-6Al-4V,150.0,600.0,95,30.0,70.0,desirable
Ti-6Al-4V,150.0,700.0,95,30.0,66.5,desirable
Ti-6Al-4V,150.0,900.0,95,25.0,66.5,desirable
Ti-6Al-4V,150.0,1200.0,95,0.02,0.0665,desirable
Ti-6Al-4V,150.0,600.0,95,30.0,76.0,desirable
Ti-6Al-4V,150.0,700.0,95,30.0,76.0,desirable
Ti-6Al-4V,150.0,900.0,95,25.0,70.0,desirable
Ti-6Al-4V,150.0,1200.0,95,20.0,66.5,desirable
Ti-6Al-4V,280.0,1200.0,100,30.0,140.0,desirable
Ti-6Al-4V,280.0,800.0,100,30.0,140.0,desirable
Ti-6Al-4V,280.0,1000.0,100,30.0,140.0,desirable
Ti-6Al-4V,280.0,1500.0,100,30.0,80.0,desirable
Ti-6Al-4V,280.0,1200.0,100,30.0,40.0,desirable
Ti-6Al-4V,280.0,1200.0,100,30.0,140.0,desirable
Ti-6Al-4V,280.0,800.0,100,30.0,140.0,desirable
Ti-6Al-4V,280.0,1000.0,100,30.0,140.0,desirable
Ti-6Al-4V,280.0,1500.0,100,30.0,80.0,desirable
Ti-6Al-4V,280.0,1200.0,100,30.0,160.0,desirable
Ti-6Al-4V,280.0,1200.0,100,30.0,40.0,desirable
Ti-6Al-4V,300.0,1200.0,100,30.0,40.0,desirable
Ti-6Al-4V,300.0,2000.0,100,30.0,40.0,desirable
Ti-6Al-4V,325.0,1200.0,100,30.0,140.0,desirable
Ti-6Al-4V,325.0,1200.0,100,30.0,140.0,desirable
Ti-6Al-4V,370.0,1200.0,100,30.0,140.0,desirable
Ti-6Al-4V,370.0,1200.0,100,30.0,140.0,desirable
Ti-6Al-4V,160.0,700.0,140,20.0,98.0,desirable
Ti-6Al-4V,210.0,1000.0,140,30.0,70.0,desirable
Ti-6Al-4V,230.0,1000.0,140,0.02,0.11,desirable
Ti-6Al-4V,260.0,1000.0,140,0.025,0.098,desirable
Ti-6Al-4V,280.0,1000.0,140,0.03,0.098,desirable
Ti-6Al-4V,320.0,1000.0,140,0.026,0.112,desirable
Ti-6Al-4V,100.0,2000.0,20,20.0,38.46,LOF
Ti-6Al-4V,100.0,2000.0,20,20.0,45.0,LOF
Ti-6Al-4V,150.0,2000.0,20,20.0,62.5,LOF
Ti-6Al-4V,150.0,2000.0,20,20.0,60.0,LOF
Ti-6Al-4V,200.0,2000.0,20,20.0,85.0,LOF
Ti-6Al-4V,200.0,2000.0,20,20.0,100.0,LOF
Ti-6Al-4V,50.0,500.0,30,30.0,101.010101,LOF
Ti-6Al-4V,50.0,750.0,30,30.0,101.010101,LOF
Ti-6Al-4V,50.0,1000.0,30,30.0,104.1666667,LOF
Ti-6Al-4V,50.0,500.0,30,30.0,101.010101,LOF
Ti-6Al-4V,50.0,750.0,30,30.0,101.010101,LOF
Ti-6Al-4V,50.0,1000.0,30,30.0,104.1666667,LOF
Ti-6Al-4V,100.0,1000.0,30,30.0,101.010101,LOF
Ti-6Al-4V,100.0,1200.0,30,30.0,102.8806584,LOF
Ti-6Al-4V,100.0,750.0,30,30.0,101.010101,LOF
Ti-6Al-4V,100.0,1000.0,30,30.0,101.010101,LOF
Ti-6Al-4V,100.0,1200.0,30,30.0,102.8806584,LOF
Ti-6Al-4V,150.0,1200.0,30,30.0,101.6260163,LOF
Ti-6Al-4V,40.0,400.0,39,60.0,30.4,LOF
Ti-6Al-4V,40.0,400.0,39,30.0,60.0,LOF
Ti-6Al-4V,40.0,600.0,39,30.0,35.1,LOF
Ti-6Al-4V,40.0,800.0,39,30.0,33.33,LOF
Ti-6Al-4V,40.0,1000.0,39,30.0,31.2,LOF
Ti-6Al-4V,40.0,1200.0,39,30.0,30.0,LOF
Ti-6Al-4V,40.0,1400.0,39,30.0,31.2,LOF
Ti-6Al-4V,40.0,400.0,39,30.0,55.0,LOF
Ti-6Al-4V,40.0,600.0,39,30.0,35.1,LOF
Ti-6Al-4V,40.0,800.0,39,30.0,30.0,LOF
Ti-6Al-4V,40.0,1000.0,39,30.0,31.2,LOF
Ti-6Al-4V,40.0,1200.0,39,30.0,31.2,LOF
Ti-6Al-4V,40.0,1400.0,39,30.0,0.0312,LOF
Ti-6Al-4V,80.0,1000.0,39,30.0,0.041,LOF
Ti-6Al-4V,80.0,1200.0,39,30.0,35.1,LOF
Ti-6Al-4V,80.0,1400.0,39,30.0,35.1,LOF
Ti-6Al-4V,80.0,1600.0,39,30.0,31.2,LOF
Ti-6Al-4V,80.0,1000.0,39,30.0,43.0,LOF
Ti-6Al-4V,80.0,1200.0,39,30.0,35.1,LOF
Ti-6Al-4V,80.0,1400.0,39,30.0,0.034,LOF
Ti-6Al-4V,80.0,1600.0,39,30.0,30.3,LOF
Ti-6Al-4V,160.0,1000.0,39,60.0,0.045,LOF
Ti-6Al-4V,40.0,210.0,50,30.0,75.0,LOF
Ti-6Al-4V,40.0,210.0,50,30.0,75.0,LOF
Ti-6Al-4V,67.5,305.0,50,30.0,87.5,LOF
Ti-6Al-4V,67.5,305.0,50,30.0,87.5,LOF
Ti-6Al-4V,100.0,400.0,95,60.0,82.0,LOF
Ti-6Al-4V,100.0,700.0,95,0.03,0.079,LOF
Ti-6Al-4V,100.0,400.0,95,60.0,85.5,LOF
Ti-6Al-4V,100.0,700.0,95,40.0,70.0,LOF
Ti-6Al-4V,100.0,1200.0,100,30.0,50.0,LOF
Ti-6Al-4V,100.0,1200.0,100,30.0,50.0,LOF
Ti-6Al-4V,165.0,1200.0,100,30.0,140.0,LOF
Ti-6Al-4V,165.0,1200.0,100,30.0,140.0,LOF
Ti-6Al-4V,200.0,2500.0,20,20.0,50.0,balling
Ti-6Al-4V,200.0,2500.0,20,20.0,0.05,balling
Ti-6Al-4V,50.0,1200.0,30,30.0,106.8376068,balling
Ti-6Al-4V,50.0,1200.0,30,30.0,106.8376068,balling
Ti-6Al-4V,120.0,1400.0,39,30.0,33.0,balling
Ti-6Al-4V,120.0,1600.0,39,30.0,31.25,balling
Ti-6Al-4V,120.0,1400.0,39,30.0,35.1,balling
Ti-6Al-4V,120.0,1600.0,39,30.0,0.03125,balling
Ti-6Al-4V,160.0,1600.0,39,30.0,0.0417,balling
Ti-6Al-4V,160.0,1600.0,39,30.0,38.0,balling
Ti-6Al-4V,120.0,450.0,100,30.0,100.0,balling
Ti-6Al-4V,120.0,800.0,100,30.0,70.0,balling
Ti-6Al-4V,300.0,300.0,100,30.0,40.0,balling
Ti-6Al-4V,300.0,600.0,100,30.0,40.0,balling
Ti-6Al-4V,370.0,1000.0,100,30.0,240.0,desirable
Ti-6Al-4V,175.0,850.0,20,35.0,0.018,keyhole
Ti-6Al-4V,175.0,850.0,20,35.0,16.0,keyhole
Ti-6Al-4V,200.0,1000.0,20,20.0,14.0,keyhole
Ti-6Al-4V,200.0,1000.0,20,20.0,18.0,keyhole
Ti-6Al-4V,195.0,500.0,30,30.0,100.0,keyhole
Ti-6Al-4V,195.0,500.0,30,30.0,100.0,keyhole
Ti-6Al-4V,195.0,750.0,30,30.0,100.7751938,keyhole
Ti-6Al-4V,50.0,800.0,50,60.0,6.5104,keyhole
Ti-6Al-4V,50.0,1000.0,50,60.0,5.0,keyhole
Ti-6Al-4V,50.0,800.0,50,60.0,6.5,keyhole
Ti-6Al-4V,50.0,1000.0,50,60.0,5.5,keyhole
Ti-6Al-4V,67.5,210.0,50,30.0,75.0,keyhole
Ti-6Al-4V,75.0,146.0,50,60.0,40.0,keyhole
Ti-6Al-4V,75.0,455.0,50,60.0,0.018,keyhole
Ti-6Al-4V,75.0,800.0,50,60.0,10.0,keyhole
Ti-6Al-4V,75.0,1000.0,50,60.0,25.0,keyhole
Ti-6Al-4V,75.0,146.0,50,60.0,40.0,keyhole
Ti-6Al-4V,75.0,455.0,50,60.0,18.0,keyhole
Ti-6Al-4V,75.0,800.0,50,60.0,0.01,keyhole
Ti-6Al-4V,75.0,1000.0,50,60.0,0.008,keyhole
Ti-6Al-4V,95.0,210.0,50,30.0,75.0,keyhole
Ti-6Al-4V,100.0,146.0,50,60.0,40.0,keyhole
Ti-6Al-4V,100.0,455.0,50,60.0,24.0,keyhole
Ti-6Al-4V,100.0,800.0,50,60.0,13.0,keyhole
Ti-6Al-4V,100.0,1000.0,50,60.0,0.0098,keyhole
Ti-6Al-4V,100.0,146.0,50,60.0,0.04,keyhole
Ti-6Al-4V,100.0,455.0,50,60.0,26.0,keyhole
Ti-6Al-4V,100.0,800.0,50,60.0,12.0,keyhole
Ti-6Al-4V,100.0,1000.0,50,60.0,11.1,keyhole
Ti-6Al-4V,122.5,210.0,50,30.0,75.0,keyhole
Ti-6Al-4V,125.0,146.0,50,60.0,40.0,keyhole
Ti-6Al-4V,125.0,455.0,50,60.0,0.0305,keyhole
Ti-6Al-4V,125.0,800.0,50,60.0,16.0,keyhole
Ti-6Al-4V,125.0,1000.0,50,60.0,0.014,keyhole
Ti-6Al-4V,125.0,146.0,50,60.0,40.0,keyhole
Ti-6Al-4V,125.0,455.0,50,60.0,30.0,keyhole
Ti-6Al-4V,125.0,800.0,50,60.0,17.36,keyhole
Ti-6Al-4V,125.0,1000.0,50,60.0,14.0,keyhole
Ti-6Al-4V,150.0,455.0,50,60.0,35.0,keyhole
Ti-6Al-4V,150.0,800.0,50,60.0,18.0,keyhole
Ti-6Al-4V,150.0,1000.0,50,60.0,15.0,keyhole
Ti-6Al-4V,150.0,210.0,50,30.0,75.0,keyhole
Ti-6Al-4V,150.0,455.0,50,60.0,35.0,keyhole
Ti-6Al-4V,150.0,800.0,50,60.0,20.0,keyhole
Ti-6Al-4V,150.0,1000.0,50,60.0,15.0,keyhole
Ti-6Al-4V,175.0,455.0,50,60.0,40.0,keyhole
Ti-6Al-4V,175.0,800.0,50,60.0,22.5,keyhole
Ti-6Al-4V,175.0,1000.0,50,60.0,0.02,keyhole
Ti-6Al-4V,175.0,455.0,50,60.0,40.0,keyhole
Ti-6Al-4V,175.0,800.0,50,60.0,26.0,keyhole
Ti-6Al-4V,175.0,1000.0,50,60.0,0.02,keyhole
Ti-6Al-4V,200.0,800.0,50,60.0,25.0,keyhole
Ti-6Al-4V,200.0,1000.0,50,60.0,22.0,keyhole
Ti-6Al-4V,200.0,800.0,50,60.0,0.028,keyhole
Ti-6Al-4V,200.0,1000.0,50,60.0,23.0,keyhole
Ti-6Al-4V,225.0,800.0,50,60.0,0.03,keyhole
Ti-6Al-4V,225.0,1000.0,50,60.0,24.0,keyhole
Ti-6Al-4V,225.0,800.0,50,60.0,30.0,keyhole
Ti-6Al-4V,225.0,1000.0,50,60.0,0.025,keyhole
Ti-6Al-4V,250.0,800.0,50,60.0,0.035,keyhole
Ti-6Al-4V,250.0,1000.0,50,60.0,25.0,keyhole
Ti-6Al-4V,250.0,800.0,50,60.0,0.035,keyhole
Ti-6Al-4V,250.0,1000.0,50,60.0,26.0,keyhole
Ti-6Al-4V,300.0,800.0,50,60.0,40.0,keyhole
Ti-6Al-4V,300.0,1000.0,50,60.0,30.0,keyhole
Ti-6Al-4V,300.0,800.0,50,60.0,0.04,keyhole
Ti-6Al-4V,300.0,1000.0,50,60.0,35.0,keyhole
Ti-6Al-4V,82.21,400.0,74,20.0,55.0,keyhole
Ti-6Al-4V,82.21,700.0,74,0.02,0.037,keyhole
Ti-6Al-4V,82.21,400.0,74,0.02058,0.0555,keyhole
Ti-6Al-4V,82.21,700.0,74,20.0,40.0,keyhole
Ti-6Al-4V,110.824,400.0,74,0.026,0.0592,keyhole
Ti-6Al-4V,110.824,400.0,74,25.0,60.0,keyhole
Ti-6Al-4V,139.438,400.0,74,35.0,59.2,keyhole
Ti-6Al-4V,139.438,600.0,74,30.0,52.0,keyhole
Ti-6Al-4V,139.438,700.0,74,0.02,0.0518,keyhole
Ti-6Al-4V,139.438,800.0,74,20.0,52.0,keyhole
Ti-6Al-4V,139.438,900.0,74,20.0,51.8,keyhole
Ti-6Al-4V,139.438,1200.0,74,0.02,0.037,keyhole
Ti-6Al-4V,139.438,400.0,74,0.03,0.0592,keyhole
Ti-6Al-4V,139.438,600.0,74,30.0,52.0,keyhole
Ti-6Al-4V,139.438,700.0,74,20.39,59.2,keyhole
Ti-6Al-4V,139.438,800.0,74,20.0,51.8,keyhole
Ti-6Al-4V,139.438,900.0,74,20.0,51.8,keyhole
Ti-6Al-4V,139.438,1200.0,74,20.0,38.0,keyhole
Ti-6Al-4V,168.052,600.0,74,30.0,56.0,keyhole
Ti-6Al-4V,168.052,600.0,74,0.03,0.0555,keyhole
Ti-6Al-4V,196.666,400.0,74,0.046,0.0592,keyhole
Ti-6Al-4V,196.666,600.0,74,30.0,59.2,keyhole
Ti-6Al-4V,196.666,700.0,74,30.0,59.0,keyhole
Ti-6Al-4V,196.666,800.0,74,28.0,52.0,keyhole
Ti-6Al-4V,196.666,900.0,74,25.0,52.0,keyhole
Ti-6Al-4V,196.666,1000.0,74,20.0,52.0,keyhole
Ti-6Al-4V,196.666,1100.0,74,0.022,0.0518,keyhole
Ti-6Al-4V,196.666,1200.0,74,20.0,51.8,keyhole
Ti-6Al-4V,196.666,400.0,74,50.0,55.0,keyhole
Ti-6Al-4V,196.666,600.0,74,35.0,59.2,keyhole
Ti-6Al-4V,196.666,700.0,74,30.0,52.0,keyhole
Ti-6Al-4V,196.666,800.0,74,25.0,59.2,keyhole
Ti-6Al-4V,196.666,900.0,74,24.0,55.0,keyhole
Ti-6Al-4V,196.666,1000.0,74,0.02,0.058,keyhole
