Power,Velocity,beam D,layer thickness,Hatch spacing,defect_label
100.0,100.0,35.0,80.0,240.0,0
100.0,500.0,35.0,36.66666667,110.0,0
100.0,1000.0,35.0,25.0,75.0,0
100.0,1500.0,35.0,20.0,60.0,0
100.0,2000.0,35.0,17.0,51.0,0
100.0,2500.0,35.0,16.0,48.0,0
150.0,100.0,35.0,97.33333333,292.0,0
150.0,500.0,35.0,43.33333333,130.0,0
150.0,1000.0,35.0,30.66666667,92.0,0
150.0,1500.0,35.0,25.0,75.0,0
150.0,2000.0,35.0,22.66666667,68.0,0
150.0,2500.0,35.0,20.0,60.0,0
200.0,100.0,35.0,112.3333333,337.0,0
200.0,500.0,35.0,50.0,150.0,0
200.0,1000.0,35.0,35.0,110.0,0
200.0,1500.0,35.0,29.0,87.0,0
200.0,2000.0,35.0,25.0,75.0,0
200.0,2500.0,35.0,23.33333333,70.0,0
250.0,100.0,35.0,125.0,375.0,0
250.0,500.0,35.0,56.66666667,170.0,0
250.0,1000.0,35.0,40.0,120.0,0
250.0,1500.0,35.0,33.33333333,100.0,0
250.0,2000.0,35.0,27.66666667,83.0,0
250.0,2500.0,35.0,25.0,75.0,0
300.0,100.0,35.0,133.3333333,400.0,0
300.0,500.0,35.0,61.0,183.0,0
300.0,1000.0,35.0,43.33333333,130.0,0
300.0,1500.0,35.0,36.0,108.0,0
300.0,2000.0,35.0,30.66666667,92.0,0
300.0,2500.0,35.0,27.33333333,82.0,0
100.0,100.0,35.0,80.0,240.0,0
100.0,500.0,35.0,36.66666667,110.0,0
100.0,1000.0,35.0,25.0,75.0,0
150.0,100.0,35.0,97.33333333,292.0,0
150.0,500.0,35.0,43.33333333,130.0,0
150.0,1000.0,35.0,30.66666667,92.0,0
200.0,100.0,35.0,112.3333333,337.0,0
200.0,500.0,35.0,50.0,150.0,0
200.0,1500.0,35.0,29.0,87.0,0
250.0,100.0,35.0,125.0,375.0,0
250.0,500.0,35.0,56.66666667,170.0,0
250.0,1000.0,35.0,40.0,120.0,0
300.0,100.0,35.0,133.3333333,400.0,0
300.0,500.0,35.0,61.0,183.0,0
100.0,800.0,37.5,30.0,105.0,0
100.0,700.0,37.5,30.0,105.0,0
100.0,800.0,37.5,30.0,105.0,0
100.0,900.0,37.5,30.0,105.0,0
300.0,400.0,37.5,30.0,105.0,0
60.0,0.6,45.0,25.0,100.0,0
65.0,0.6,45.0,25.0,100.0,0
60.0,0.6,45.0,25.0,100.0,0
65.0,0.6,45.0,25.0,100.0,0
100.0,300.0,55.0,75.0,40.0,0
200.0,600.0,55.0,75.0,38.5,0
100.0,300.0,55.0,75.0,41.0,0
200.0,600.0,55.0,75.0,40.0,0
320.0,250.0,95.0,50.0,213.3,0
320.0,280.0,95.0,50.0,85.5,0
350.0,160.0,95.0,50.0,380.0,0
350.0,280.0,95.0,50.0,76.0,0
350.0,310.0,95.0,50.0,85.5,0
350.0,340.0,95.0,50.0,180.0,0
50.0,40.81632653,98.0,50.0,200.0,0
150.0,153.0612245,98.0,50.0,140.0,0
150.0,122.4489796,98.0,50.0,200.0,0
250.0,408.1632653,98.0,50.0,88.0,0
250.0,255.1020408,98.0,50.0,160.0,0
350.0,952.3809524,98.0,50.0,78.4,0
350.0,571.4285714,98.0,50.0,88.0,0
450.0,1224.489796,98.0,50.0,73.52941176,0
450.0,734.6938776,98.0,50.0,0.0882,0
550.0,1496.598639,98.0,50.0,75.0,0
147.5,100.0,100.0,50.0,215.0,0
147.5,130.0,100.0,50.0,0.09,0
180.0,100.0,100.0,50.0,300.0,0
180.0,130.0,100.0,50.0,220.0,0
180.0,160.0,100.0,50.0,160.714,0
212.5,130.0,100.0,50.0,272.4,0
212.5,160.0,100.0,50.0,200.0,0
212.5,190.0,100.0,50.0,90.0,0
245.0,130.0,100.0,50.0,314.0,0
245.0,160.0,100.0,50.0,240.0,0
245.0,190.0,100.0,50.0,80.0,0
245.0,220.0,100.0,50.0,160.0,0
277.5,160.0,100.0,50.0,80.0,0
277.5,190.0,100.0,50.0,80.0,0
277.5,220.0,100.0,50.0,90.0,0
277.5,250.0,100.0,50.0,180.0,0
310.0,160.0,100.0,50.0,323.0,0
310.0,190.0,100.0,50.0,80.0,0
310.0,220.0,100.0,50.0,230.0,0
310.0,250.0,100.0,50.0,200.0,0
310.0,280.0,100.0,50.0,90.0,0
310.0,310.0,100.0,50.0,0.16,0
342.5,190.0,100.0,50.0,270.0,0
342.5,220.0,100.0,50.0,0.25,0
342.5,250.0,100.0,50.0,219.2,0
342.5,280.0,100.0,50.0,220.0,0
342.5,310.0,100.0,50.0,184.14,0
342.5,340.0,100.0,50.0,90.0,0
375.0,190.0,100.0,50.0,90.0,0
375.0,220.0,100.0,50.0,0.09,0
375.0,250.0,100.0,50.0,80.0,0
375.0,280.0,100.0,50.0,240.0,0
375.0,310.0,100.0,50.0,200.0,0
375.0,340.0,100.0,50.0,190.0,0
375.0,370.0,100.0,50.0,160.0,0
147.5,100.0,100.0,50.0,230.0,0
147.5,130.0,100.0,50.0,180.0,0
180.0,100.0,100.0,50.0,300.0,0
