Power,Velocity,beam D,layer thickness,Hatch spacing,defect_label
175.0,1050.0,20,35.0,42.0,0
175.0,1250.0,20,35.0,36.0,0
175.0,1450.0,20,35.0,30.0,0
175.0,1050.0,20,35.0,45.0,0
175.0,1250.0,20,35.0,0.036,0
175.0,1450.0,20,35.0,28.0,0
200.0,1500.0,20,20.0,0.06,0
200.0,1500.0,20,20.0,58.0,0
250.0,2000.0,20,20.0,50.0,0
250.0,2000.0,20,20.0,55.0,0
100.0,500.0,30,30.0,101.010101,0
100.0,500.0,30,30.0,101.010101,0
150.0,500.0,30,30.0,100.0,0
150.0,750.0,30,30.0,101.010101,0
150.0,1000.0,30,30.0,100.0,0
150.0,500.0,30,30.0,100.0,0
150.0,750.0,30,30.0,101.010101,0
150.0,1000.0,30,30.0,100.0,0
195.0,1000.0,30,30.0,100.0,0
195.0,1200.0,30,30.0,100.308642,0
195.0,1000.0,30,30.0,100.0,0
195.0,1200.0,30,30.0,100.308642,0
40.0,200.0,39,30.0,50.0,0
40.0,200.0,39,30.0,60.0,0
80.0,400.0,39,60.0,31.2,0
80.0,200.0,39,30.0,121.2,0
80.0,400.0,39,30.0,60.0,0
80.0,600.0,39,30.0,35.0,0
80.0,800.0,39,30.0,30.0,0
80.0,200.0,39,30.0,121.2,0
80.0,400.0,39,30.0,56.0,0
80.0,600.0,39,30.0,34.0,0
80.0,800.0,39,30.0,31.2,0
120.0,400.0,39,60.0,0.036,0
120.0,400.0,39,30.0,31.2,0
120.0,600.0,39,30.0,60.0,0
120.0,800.0,39,30.0,35.1,0
120.0,1000.0,39,30.0,33.0,0
120.0,1200.0,39,30.0,31.2,0
120.0,400.0,39,30.0,85.0,0
120.0,600.0,39,30.0,60.0,0
120.0,800.0,39,30.0,35.9,0
120.0,1000.0,39,30.0,32.0,0
120.0,1200.0,39,30.0,31.2,0
160.0,400.0,39,60.0,55.6,0
160.0,400.0,39,30.0,120.0,0
160.0,600.0,39,30.0,0.080808,0
160.0,800.0,39,30.0,60.0,0
160.0,1000.0,39,30.0,0.0381,0
160.0,1200.0,39,30.0,33.0,0
160.0,1400.0,39,30.0,31.746,0
160.0,400.0,39,30.0,100.0,0
160.0,600.0,39,30.0,80.0,0
160.0,800.0,39,30.0,56.0,0
160.0,1000.0,39,30.0,35.1,0
160.0,1200.0,39,30.0,35.0,0
160.0,1400.0,39,30.0,31.2,0
120.0,400.0,95,40.0,75.0,0
120.0,400.0,95,32.9,76.0,0
150.0,1200.0,95,20.0,67.0,0
150.0,600.0,95,30.0,70.0,0
150.0,700.0,95,30.0,66.5,0
150.0,900.0,95,25.0,66.5,0
150.0,1200.0,95,0.02,0.0665,0
150.0,600.0,95,30.0,76.0,0
150.0,700.0,95,30.0,76.0,0
150.0,900.0,95,25.0,70.0,0
150.0,1200.0,95,20.0,66.5,0
280.0,1200.0,100,30.0,140.0,0
280.0,800.0,100,30.0,140.0,0
280.0,1000.0,100,30.0,140.0,0
280.0,1500.0,100,30.0,80.0,0
280.0,1200.0,100,30.0,40.0,0
280.0,1200.0,100,30.0,140.0,0
280.0,800.0,100,30.0,140.0,0
280.0,1000.0,100,30.0,140.0,0
280.0,1500.0,100,30.0,80.0,0
280.0,1200.0,100,30.0,160.0,0
280.0,1200.0,100,30.0,40.0,0
300.0,1200.0,100,30.0,40.0,0
300.0,2000.0,100,30.0,40.0,0
325.0,1200.0,100,30.0,140.0,0
325.0,1200.0,100,30.0,140.0,0
370.0,1200.0,100,30.0,140.0,0
370.0,1200.0,100,30.0,140.0,0
160.0,700.0,140,20.0,98.0,0
210.0,1000.0,140,30.0,70.0,0
230.0,1000.0,140,0.02,0.11,0
260.0,1000.0,140,0.025,0.098,0
280.0,1000.0,140,0.03,0.098,0
320.0,1000.0,140,0.026,0.112,0
100.0,2000.0,20,20.0,38.46,1
100.0,2000.0,20,20.0,45.0,1
150.0,2000.0,20,20.0,62.5,1
150.0,2000.0,20,20.0,60.0,1
200.0,2000.0,20,20.0,85.0,1
200.0,2000.0,20,20.0,100.0,1
50.0,500.0,30,30.0,101.010101,1
50.0,750.0,30,30.0,101.010101,1
50.0,1000.0,30,30.0,104.1666667,1
50.0,500.0,30,30.0,101.010101,1
50.0,750.0,30,30.0,101.010101,1
50.0,1000.0,30,30.0,104.1666667,1
100.0,1000.0,30,30.0,101.010101,1
100.0,1200.0,30,30.0,102.8806584,1
100.0,750.0,30,30.0,101.010101,1
100.0,1000.0,30,30.0,101.010101,1
100.0,1200.0,30,30.0,102.8806584,1
150.0,1200.0,30,30.0,101.6260163,1
40.0,400.0,39,60.0,30.4,1
40.0,400.0,39,30.0,60.0,1
40.0,600.0,39,30.0,35.1,1
40.0,800.0,39,30.0,33.33,1
40.0,1000.0,39,30.0,31.2,1
40.0,1200.0,39,30.0,30.0,1
40.0,1400.0,39,30.0,31.2,1
40.0,400.0,39,30.0,55.0,1
40.0,600.0,39,30.0,35.1,1
40.0,800.0,39,30.0,30.0,1
40.0,1000.0,39,30.0,31.2,1
40.0,1200.0,39,30.0,31.2,1
40.0,1400.0,39,30.0,0.0312,1
80.0,1000.0,39,30.0,0.041,1
80.0,1200.0,39,30.0,35.1,1
80.0,1400.0,39,30.0,35.1,1
80.0,1600.0,39,30.0,31.2,1
80.0,1000.0,39,30.0,43.0,1
80.0,1200.0,39,30.0,35.1,1
80.0,1400.0,39,30.0,0.034,1
80.0,1600.0,39,30.0,30.3,1
160.0,1000.0,39,60.0,0.045,1
40.0,210.0,50,30.0,75.0,1
40.0,210.0,50,30.0,75.0,1
67.5,305.0,50,30.0,87.5,1
67.5,305.0,50,30.0,87.5,1
100.0,400.0,95,60.0,82.0,1
100.0,700.0,95,0.03,0.079,1
100.0,400.0,95,60.0,85.5,1
100.0,700.0,95,40.0,70.0,1
100.0,1200.0,100,30.0,50.0,1
100.0,1200.0,100,30.0,50.0,1
165.0,1200.0,100,30.0,140.0,1
165.0,1200.0,100,30.0,140.0,1
200.0,2500.0,20,20.0,50.0,2
200.0,2500.0,20,20.0,0.05,2
50.0,1200.0,30,30.0,106.8376068,2
50.0,1200.0,30,30.0,106.8376068,2
120.0,1400.0,39,30.0,33.0,2
120.0,1600.0,39,30.0,31.25,2
120.0,1400.0,39,30.0,35.1,2
120.0,1600.0,39,30.0,0.03125,2
160.0,1600.0,39,30.0,0.0417,2
160.0,1600.0,39,30.0,38.0,2
120.0,450.0,100,30.0,100.0,2
120.0,800.0,100,30.0,70.0,2
300.0,300.0,100,30.0,40.0,2
300.0,600.0,100,30.0,40.0,2
370.0,1000.0,100,30.0,240.0,0
175.0,850.0,20,35.0,0.018,3
175.0,850.0,20,35.0,16.0,3
200.0,1000.0,20,20.0,14.0,3
200.0,1000.0,20,20.0,18.0,3
195.0,500.0,30,30.0,100.0,3
195.0,500.0,30,30.0,100.0,3
195.0,750.0,30,30.0,100.7751938,3
50.0,800.0,50,60.0,6.5104,3
50.0,1000.0,50,60.0,5.0,3
50.0,800.0,50,60.0,6.5,3
50.0,1000.0,50,60.0,5.5,3
67.5,210.0,50,30.0,75.0,3
75.0,146.0,50,60.0,40.0,3
75.0,455.0,50,60.0,0.018,3
75.0,800.0,50,60.0,10.0,3
75.0,1000.0,50,60.0,25.0,3
75.0,146.0,50,60.0,40.0,3
75.0,455.0,50,60.0,18.0,3
75.0,800.0,50,60.0,0.01,3
75.0,1000.0,50,60.0,0.008,3
95.0,210.0,50,30.0,75.0,3
100.0,146.0,50,60.0,40.0,3
100.0,455.0,50,60.0,24.0,3
100.0,800.0,50,60.0,13.0,3
100.0,1000.0,50,60.0,0.0098,3
100.0,146.0,50,60.0,0.04,3
100.0,455.0,50,60.0,26.0,3
100.0,800.0,50,60.0,12.0,3
100.0,1000.0,50,60.0,11.1,3
122.5,210.0,50,30.0,75.0,3
125.0,146.0,50,60.0,40.0,3
125.0,455.0,50,60.0,0.0305,3
125.0,800.0,50,60.0,16.0,3
125.0,1000.0,50,60.0,0.014,3
125.0,146.0,50,60.0,40.0,3
125.0,455.0,50,60.0,30.0,3
125.0,800.0,50,60.0,17.36,3
125.0,1000.0,50,60.0,14.0,3
150.0,455.0,50,60.0,35.0,3
150.0,800.0,50,60.0,18.0,3
150.0,1000.0,50,60.0,15.0,3
150.0,210.0,50,30.0,75.0,3
150.0,455.0,50,60.0,35.0,3
150.0,800.0,50,60.0,20.0,3
150.0,1000.0,50,60.0,15.0,3
175.0,455.0,50,60.0,40.0,3
175.0,800.0,50,60.0,22.5,3
175.0,1000.0,50,60.0,0.02,3
175.0,455.0,50,60.0,40.0,3
175.0,800.0,50,60.0,26.0,3
175.0,1000.0,50,60.0,0.02,3
200.0,800.0,50,60.0,25.0,3
200.0,1000.0,50,60.0,22.0,3
200.0,800.0,50,60.0,0.028,3
200.0,1000.0,50,60.0,23.0,3
225.0,800.0,50,60.0,0.03,3
225.0,1000.0,50,60.0,24.0,3
225.0,800.0,50,60.0,30.0,3
225.0,1000.0,50,60.0,0.025,3
250.0,800.0,50,60.0,0.035,3
250.0,1000.0,50,60.0,25.0,3
250.0,800.0,50,60.0,0.035,3
250.0,1000.0,50,60.0,26.0,3
300.0,800.0,50,60.0,40.0,3
300.0,1000.0,50,60.0,30.0,3
300.0,800.0,50,60.0,0.04,3
300.0,1000.0,50,60.0,35.0,3
82.21,400.0,74,20.0,55.0,3
82.21,700.0,74,0.02,0.037,3
82.21,400.0,74,0.02058,0.0555,3
82.21,700.0,74,20.0,40.0,3
110.824,400.0,74,0.026,0.0592,3
110.824,400.0,74,25.0,60.0,3
139.438,400.0,74,35.0,59.2,3
139.438,600.0,74,30.0,52.0,3
139.438,700.0,74,0.02,0.0518,3
139.438,800.0,74,20.0,52.0,3
139.438,900.0,74,20.0,51.8,3
139.438,1200.0,74,0.02,0.037,3
139.438,400.0,74,0.03,0.0592,3
