Power,Velocity,beam D,layer thickness,depth of melt pool
250.0,600,100.0,70.0,200.0
100.0,400,100.0,70.0,100.0
180.0,800,100.0,70.0,100.0
200.0,950,100.0,70.0,100.0
210.0,1000,100.0,70.0,100.0
250.0,1100,80.0,60.0,120.0
285.0,960,80.0,60.0,172.0
200.0,1000,74.0,40.0,48.0
250.0,1500,74.0,40.0,53.0
180.0,1000,50.0,25.0,85.0
100.0,950,100.0,70.0,50.0
110.0,1000,100.0,70.0,50.0
142.0,960,80.0,60.0,73.0
180.0,400,700.0,100.0,83.0
180.0,600,700.0,100.0,65.0
230.0,1200,100.0,70.0,100.0
120.0,200,100.0,70.0,200.0
150.0,200,100.0,70.0,300.0
320.0,400,100.0,70.0,300.0
170.0,400,100.0,70.0,200.0
140.0,600,100.0,70.0,100.0
250.0,660,80.0,60.0,176.0
285.0,600,80.0,60.0,252.0
200.0,100,74.0,40.0,590.0
200.0,250,74.0,40.0,350.0
200.0,500,74.0,40.0,160.0
250.0,100,74.0,40.0,90.0
250.0,250,74.0,40.0,480.0
250.0,500,74.0,40.0,240.0
250.0,1000,74.0,40.0,100.0
285.0,960,74.0,40.0,130.0
300.0,100,74.0,40.0,1050.0
300.0,150,74.0,40.0,730.0
300.0,250,74.0,40.0,710.0
180.0,200,50.0,25.0,420.0
180.0,800,50.0,25.0,120.0
340.0,800,100.0,70.0,200.0
720.0,450,0.616112188,50.0,175.0
510.0,300,0.626529767,50.0,150.0
765.0,450,0.626529767,50.0,180.0
540.0,300,0.635653642,50.0,156.0
810.0,450,0.635653642,50.0,190.0
570.0,300,0.643644472,50.0,162.0
855.0,450,0.643644472,50.0,200.0
600.0,300,0.650642964,50.0,172.0
150.0,200,75.0,40.0,215.7
200.0,200,75.0,40.0,280.5
300.0,200,75.0,40.0,299.1
