Power,Velocity,beam D,layer thickness,defect_label
100,400,80.0,50.0,0.0
100,500,80.0,50.0,0.0
100,600,80.0,50.0,0.0
100,700,80.0,50.0,0.0
100,800,80.0,50.0,0.0
100,900,80.0,50.0,0.0
100,1000,80.0,50.0,0.0
100,1200,80.0,50.0,0.0
150,600,80.0,50.0,0.0
150,800,80.0,50.0,0.0
150,1000,80.0,50.0,0.0
150,1200,80.0,50.0,0.0
200,800,80.0,50.0,0.0
200,1000,80.0,50.0,0.0
900,400,240.0,50.0,0.0
900,500,240.0,50.0,0.0
170,600,100.0,20.0,0.0
170,700,100.0,20.0,0.0
170,800,100.0,20.0,0.0
170,900,100.0,20.0,0.0
170,1000,100.0,20.0,0.0
195,600,100.0,20.0,0.0
195,700,100.0,20.0,0.0
195,800,100.0,20.0,0.0
220,600,100.0,20.0,0.0
220,700,100.0,20.0,0.0
220,800,100.0,20.0,0.0
100,400,80.0,50.0,0.0
100,500,80.0,50.0,0.0
100,600,80.0,50.0,0.0
100,700,80.0,50.0,0.0
100,800,80.0,50.0,0.0
100,900,80.0,50.0,0.0
100,1000,80.0,50.0,0.0
100,1200,80.0,50.0,0.0
150,600,80.0,50.0,0.0
150,800,80.0,50.0,0.0
150,1000,80.0,50.0,0.0
150,1200,80.0,50.0,0.0
200,800,80.0,50.0,0.0
200,1000,80.0,50.0,0.0
900,400,240.0,50.0,0.0
900,500,240.0,50.0,0.0
170,600,100.0,20.0,0.0
170,700,100.0,20.0,0.0
170,800,100.0,20.0,0.0
170,900,100.0,20.0,0.0
170,1000,100.0,20.0,0.0
195,600,100.0,20.0,0.0
195,700,100.0,20.0,0.0
195,800,100.0,20.0,0.0
220,600,100.0,20.0,0.0
220,700,100.0,20.0,0.0
220,800,100.0,20.0,0.0
100,1400,80.0,50.0,1.0
150,1400,80.0,50.0,1.0
150,1500,80.0,50.0,1.0
150,1600,80.0,50.0,1.0
150,1800,80.0,50.0,1.0
150,2000,80.0,50.0,1.0
200,1200,80.0,50.0,1.0
100,1400,80.0,50.0,1.0
150,1400,80.0,50.0,1.0
150,1500,80.0,50.0,1.0
150,1600,80.0,50.0,1.0
150,1800,80.0,50.0,1.0
150,2000,80.0,50.0,1.0
200,1200,80.0,50.0,1.0
200,1400,80.0,50.0,2.0
200,1600,80.0,50.0,2.0
200,1800,80.0,50.0,2.0
200,2000,80.0,50.0,2.0
200,2200,80.0,50.0,2.0
200,2400,80.0,50.0,2.0
300,1200,80.0,50.0,2.0
300,1400,80.0,50.0,2.0
300,1600,80.0,50.0,2.0
