Power,Velocity,beam D,layer thickness,depth of melt pool
100,400,80.0,50.0,102.0
100,500,80.0,50.0,40.0
100,600,80.0,50.0,36.0
100,700,80.0,50.0,33.0
100,800,80.0,50.0,30.0
100,900,80.0,50.0,26.0
100,1000,80.0,50.0,22.0
100,1200,80.0,50.0,21.0
150,600,80.0,50.0,100.0
150,800,80.0,50.0,60.0
150,1000,80.0,50.0,50.0
150,1200,80.0,50.0,43.0
200,800,80.0,50.0,105.0
200,1000,80.0,50.0,75.0
900,400,240.0,50.0,195.0
900,500,240.0,50.0,175.0
170,600,100.0,20.0,72.0
170,700,100.0,20.0,61.0
170,800,100.0,20.0,54.0
170,900,100.0,20.0,46.0
170,1000,100.0,20.0,42.0
195,600,100.0,20.0,102.0
195,700,100.0,20.0,85.0
195,800,100.0,20.0,73.0
220,600,100.0,20.0,123.0
220,700,100.0,20.0,103.0
220,800,100.0,20.0,91.0
100,1400,80.0,50.0,20.0
150,1400,80.0,50.0,33.0
150,1500,80.0,50.0,31.0
150,1600,80.0,50.0,26.0
150,1800,80.0,50.0,23.0
150,2000,80.0,50.0,21.0
200,1200,80.0,50.0,63.0
200,1400,80.0,50.0,55.0
200,1600,80.0,50.0,45.0
200,1800,80.0,50.0,41.0
200,2000,80.0,50.0,35.0
200,2200,80.0,50.0,30.0
200,2400,80.0,50.0,28.0
300,1200,80.0,50.0,90.0
300,1400,80.0,50.0,80.0
300,1600,80.0,50.0,73.0
300,1800,80.0,50.0,66.0
300,2000,80.0,50.0,61.0
300,2200,80.0,50.0,47.0
300,2400,80.0,50.0,49.0
300,2600,80.0,50.0,41.0
900,600,240.0,50.0,130.0
900,700,240.0,50.0,102.0
900,800,240.0,50.0,82.0
900,900,240.0,50.0,80.0
900,1000,240.0,50.0,78.0
900,1200,240.0,50.0,60.0
900,1400,240.0,50.0,55.0
1350,600,240.0,50.0,240.0
1350,800,240.0,50.0,180.0
1350,1000,240.0,50.0,145.0
1350,1200,240.0,50.0,120.0
1350,1400,240.0,50.0,100.0
1350,1500,240.0,50.0,82.0
1350,1600,240.0,50.0,95.0
1350,1800,240.0,50.0,75.0
1350,2000,240.0,50.0,70.0
1800,800,240.0,50.0,270.0
1800,1000,240.0,50.0,198.0
1800,1200,240.0,50.0,163.0
1800,1400,240.0,50.0,138.0
1800,1600,240.0,50.0,120.0
1800,1800,240.0,50.0,110.0
1800,2000,240.0,50.0,100.0
1800,2200,240.0,50.0,90.0
1800,2400,240.0,50.0,80.0
170,1100,100.0,20.0,34.0
170,1200,100.0,20.0,32.0
170,1300,100.0,20.0,30.0
195,900,100.0,20.0,66.0
195,1000,100.0,20.0,60.0
195,1100,100.0,20.0,53.0
195,1200,100.0,20.0,47.0
195,1300,100.0,20.0,45.0
220,900,100.0,20.0,77.0
220,1000,100.0,20.0,69.0
220,1100,100.0,20.0,60.0
220,1200,100.0,20.0,55.0
220,1300,100.0,20.0,54.0
2700,1200,240.0,50.0,256.0
2700,1400,240.0,50.0,195.0
2700,1600,240.0,50.0,168.0
2700,1800,240.0,50.0,154.0
2700,2000,240.0,50.0,138.0
2700,2200,240.0,50.0,122.0
2700,2400,240.0,50.0,115.0
2700,2600,240.0,50.0,100.0
