Power,Velocity,beam D,layer thickness,depth of melt pool
100.0,100.0,35.0,80.0,120.0
100.0,500.0,35.0,36.66666667,55.0
100.0,1000.0,35.0,25.0,37.5
150.0,100.0,35.0,97.33333333,146.0
150.0,500.0,35.0,43.33333333,65.0
150.0,1000.0,35.0,30.66666667,46.0
200.0,100.0,35.0,112.3333333,168.5
200.0,500.0,35.0,50.0,75.0
200.0,1500.0,35.0,29.0,43.5
250.0,100.0,35.0,125.0,187.5
250.0,500.0,35.0,56.66666667,85.0
250.0,1000.0,35.0,40.0,60.0
300.0,100.0,35.0,133.3333333,200.0
300.0,500.0,35.0,61.0,91.5
100.0,700.0,37.5,30.0,49.14
100.0,800.0,37.5,30.0,45.57
100.0,900.0,37.5,30.0,46.0
300.0,400.0,37.5,30.0,571.14
60.0,0.6,45.0,25.0,31.5
65.0,0.6,45.0,25.0,32.8
100.0,300.0,55.0,75.0,52.0
200.0,600.0,55.0,75.0,70.0
320.0,250.0,95.0,50.0,310.0
320.0,280.0,95.0,50.0,310.0
350.0,160.0,95.0,50.0,340.0
350.0,280.0,95.0,50.0,340.0
350.0,310.0,95.0,50.0,340.0
350.0,340.0,95.0,50.0,340.0
250.0,50.0,500.0,100.0,132.19
350.0,50.0,500.0,100.0,226.37
350.0,80.0,500.0,100.0,175.45
450.0,80.0,500.0,100.0,212.73
75.0,300.0,70.0,50.0,30.0
75.0,200.0,70.0,50.0,25.0
75.0,100.0,70.0,50.0,30.0
100.0,400.0,70.0,50.0,23.0
100.0,300.0,70.0,50.0,17.0
100.0,200.0,70.0,50.0,35.0
125.0,500.0,70.0,50.0,14.0
150.0,800.0,70.0,50.0,16.0
150.0,700.0,70.0,50.0,19.0
150.0,600.0,70.0,50.0,14.0
150.0,500.0,70.0,50.0,25.0
150.0,400.0,70.0,50.0,35.0
175.0,500.0,70.0,50.0,8.0
175.0,400.0,70.0,50.0,35.0
175.0,300.0,70.0,50.0,32.0
200.0,700.0,70.0,50.0,46.0
200.0,600.0,70.0,50.0,47.0
200.0,500.0,70.0,50.0,34.0
200.0,1600.0,90.0,30.0,63.0
150.0,50.0,500.0,100.0,60.02
150.0,80.0,500.0,100.0,51.78
250.0,80.0,500.0,100.0,124.5
200.0,800.0,50.0,50.0,220.0
300.0,800.0,50.0,50.0,320.0
400.0,800.0,50.0,50.0,430.0
600.0,400.0,37.5,30.0,1135.47
600.0,500.0,37.5,30.0,1045.06
600.0,600.0,37.5,30.0,895.29
600.0,700.0,37.5,30.0,782.0
600.0,800.0,37.5,30.0,681.0
70.0,0.6,45.0,25.0,34.3
100.0,150.0,55.0,75.0,150.0
100.0,200.0,55.0,75.0,126.0
200.0,300.0,55.0,75.0,266.0
200.0,400.0,55.0,75.0,159.0
200.0,100.0,78.0,50.0,390.0
250.0,100.0,78.0,50.0,500.0
300.0,100.0,78.0,50.0,640.0
200.0,850.0,90.0,30.0,110.0
200.0,1000.0,90.0,30.0,92.0
375.0,100.0,95.0,50.0,380.0
375.0,130.0,95.0,50.0,380.0
375.0,180.0,95.0,50.0,380.0
375.0,220.0,95.0,50.0,380.0
375.0,250.0,95.0,50.0,380.0
375.0,310.0,95.0,50.0,380.0
375.0,340.0,95.0,50.0,380.0
375.0,370.0,95.0,50.0,380.0
375.0,400.0,95.0,50.0,380.0
300.0,1937.984496,116.0,40.0,134.52
300.0,1344.086022,116.0,40.0,160.22
300.0,1054.852321,116.0,40.0,205.1
350.0,2260.981912,116.0,40.0,147.94
350.0,1568.100358,116.0,40.0,206.65
350.0,1230.661041,116.0,40.0,232.2
150.0,20.0,500.0,100.0,134.833
250.0,20.0,500.0,100.0,187.59
350.0,20.0,500.0,100.0,316.6
450.0,20.0,500.0,100.0,422.7
