Power,Velocity,beam D,layer thickness,depth of melt pool
200.0,1500.0,20,20.0,50.0
250.0,2000.0,20,20.0,52.0
100.0,500.0,30,30.0,45.0
150.0,500.0,30,30.0,102.0
150.0,750.0,30,30.0,72.0
150.0,1000.0,30,30.0,53.0
195.0,1000.0,30,30.0,81.0
195.0,1200.0,30,30.0,65.0
40.0,200.0,39,30.0,52.0
80.0,200.0,39,30.0,108.0
80.0,400.0,39,30.0,62.0
80.0,600.0,39,30.0,43.0
80.0,800.0,39,30.0,35.0
120.0,400.0,39,30.0,91.0
120.0,600.0,39,30.0,62.0
120.0,800.0,39,30.0,50.0
120.0,1000.0,39,30.0,40.0
120.0,1200.0,39,30.0,35.0
160.0,400.0,39,30.0,117.0
160.0,600.0,39,30.0,83.0
160.0,800.0,39,30.0,63.0
160.0,1000.0,39,30.0,52.0
160.0,1200.0,39,30.0,46.0
160.0,1400.0,39,30.0,40.0
280.0,1200.0,100,30.0,84.0
280.0,800.0,100,30.0,102.0
280.0,1000.0,100,30.0,92.0
280.0,1500.0,100,30.0,75.0
280.0,1200.0,100,30.0,84.0
280.0,1200.0,100,30.0,84.0
300.0,1200.0,100,30.0,71.0
300.0,2000.0,100,30.0,38.0
325.0,1200.0,100,30.0,90.0
370.0,1200.0,100,30.0,96.0
100.0,2000.0,20,20.0,11.0
150.0,2000.0,20,20.0,30.0
200.0,2000.0,20,20.0,43.0
50.0,500.0,30,30.0,16.0
50.0,750.0,30,30.0,12.0
50.0,1000.0,30,30.0,10.0
100.0,750.0,30,30.0,32.0
100.0,1000.0,30,30.0,24.0
100.0,1200.0,30,30.0,22.0
150.0,1200.0,30,30.0,50.0
40.0,400.0,39,30.0,28.0
40.0,600.0,39,30.0,21.0
40.0,800.0,39,30.0,16.0
40.0,1000.0,39,30.0,10.0
40.0,1200.0,39,30.0,6.0
40.0,1400.0,39,30.0,3.0
80.0,1000.0,39,30.0,30.0
80.0,1200.0,39,30.0,25.0
80.0,1400.0,39,30.0,22.0
80.0,1600.0,39,30.0,20.0
40.0,210.0,50,30.0,22.0
67.5,305.0,50,30.0,29.0
100.0,1200.0,100,30.0,50.0
165.0,1200.0,100,30.0,64.0
200.0,2500.0,20,20.0,45.0
50.0,1200.0,30,30.0,5.0
120.0,1400.0,39,30.0,33.0
120.0,1600.0,39,30.0,31.0
160.0,1600.0,39,30.0,36.0
120.0,450.0,100,30.0,58.0
120.0,800.0,100,30.0,38.0
300.0,300.0,100,30.0,183.0
300.0,600.0,100,30.0,109.0
370.0,1000.0,100,30.0,105.0
200.0,1000.0,20,20.0,55.0
195.0,500.0,30,30.0,176.0
195.0,750.0,30,30.0,110.0
50.0,800.0,50,60.0,30.0
50.0,1000.0,50,60.0,30.0
67.5,210.0,50,30.0,33.0
75.0,146.0,50,60.0,150.0
75.0,455.0,50,60.0,75.0
75.0,800.0,50,60.0,42.0
75.0,1000.0,50,60.0,42.0
95.0,210.0,50,30.0,53.0
100.0,146.0,50,60.0,220.0
100.0,455.0,50,60.0,140.0
100.0,800.0,50,60.0,80.0
100.0,1000.0,50,60.0,62.0
122.5,210.0,50,30.0,66.0
125.0,146.0,50,60.0,280.0
125.0,455.0,50,60.0,170.0
125.0,800.0,50,60.0,127.0
125.0,1000.0,50,60.0,90.0
150.0,210.0,50,30.0,84.0
150.0,455.0,50,60.0,220.0
150.0,800.0,50,60.0,150.0
150.0,1000.0,50,60.0,107.0
175.0,455.0,50,60.0,250.0
175.0,800.0,50,60.0,167.0
175.0,1000.0,50,60.0,150.0
200.0,800.0,50,60.0,180.0
200.0,1000.0,50,60.0,164.0
225.0,800.0,50,60.0,216.0
225.0,1000.0,50,60.0,182.0
250.0,800.0,50,60.0,230.0
250.0,1000.0,50,60.0,220.0
300.0,800.0,50,60.0,340.0
300.0,1000.0,50,60.0,280.0
120.0,200.0,100,30.0,95.0
280.0,400.0,100,30.0,144.0
67.5,115.0,50,30.0,37.0
67.5,305.0,50,30.0,30.0
67.5,115.0,50,30.0,39.0
67.5,305.0,50,30.0,31.0
67.5,115.0,50,30.0,37.0
67.5,115.0,50,30.0,39.0
67.5,305.0,50,30.0,31.0
81.25,162.5,50,30.0,42.0
81.25,257.5,50,30.0,37.0
81.25,162.5,50,30.0,43.0
81.25,257.5,50,30.0,38.0
81.25,162.5,50,30.0,42.0
81.25,257.5,50,30.0,36.0
81.25,162.5,50,30.0,43.0
81.25,257.5,50,30.0,37.0
95.0,20.0,50,30.0,92.0
95.0,115.0,50,30.0,62.0
95.0,400.0,50,30.0,37.0
95.0,305.0,50,30.0,41.0
95.0,210.0,50,30.0,49.0
95.0,210.0,50,30.0,51.0
95.0,210.0,50,30.0,55.0
95.0,210.0,50,30.0,53.0
95.0,210.0,50,30.0,52.0
95.0,210.0,50,30.0,52.0
95.0,210.0,50,30.0,52.0
95.0,210.0,50,30.0,52.0
108.75,162.5,50,30.0,64.0
108.75,257.5,50,30.0,57.0
108.75,162.5,50,30.0,64.0
108.75,257.5,50,30.0,58.0
108.75,162.5,50,30.0,63.0
108.75,257.5,50,30.0,56.0
108.75,162.5,50,30.0,64.0
108.75,257.5,50,30.0,57.0
122.5,115.0,50,30.0,81.0
122.5,305.0,50,30.0,58.0
122.5,115.0,50,30.0,84.0
122.5,305.0,50,30.0,61.0
122.5,115.0,50,30.0,81.0
122.5,305.0,50,30.0,58.0
122.5,115.0,50,30.0,85.0
122.5,305.0,50,30.0,60.0
150.0,146.0,50,60.0,370.0
175.0,146.0,50,60.0,425.0
200.0,146.0,50,60.0,520.0
200.0,455.0,50,60.0,310.0
225.0,146.0,50,60.0,540.0
225.0,455.0,50,60.0,340.0
250.0,146.0,50,60.0,620.0
250.0,455.0,50,60.0,370.0
300.0,455.0,50,60.0,410.0
60.0,666.6666667,100,30.0,22.0
60.0,500.0,100,30.0,27.0
60.0,400.0,100,30.0,36.0
60.0,285.7142857,100,30.0,50.0
