Power,Velocity,beam D,layer thickness,Hatch spacing,defect_label,material
342.5,340.0,100.0,50.0,90.0,0,SS316L
375.0,180.0,95.0,50.0,76.0,3,SS316L
130.0,1900.0,0.1,0.06,0.09,1,SS17-4PH
300.0,800.0,50.0,50.0,93.75,2,SS316L
310.0,160.0,100.0,50.0,323.0,0,SS316L
282.508,700.0,74.0,40.0,59.0,3,IN718
225.0,800.0,0.08,40.0,0.064,0,IN718
212.5,100.0,100.0,50.0,70.0,3,SS316L
350.0,499.1087344,187.0,50.0,220.0,1,SS316L
45.0,2400.0,90.0,40.0,72.0,1,SS316L
300.0,900.0,80.0,20.0,60.0,3,SS17-4PH
250.0,500.0,35.0,56.66666667,170.0,0,SS316L
200.0,100.0,35.0,112.3333333,337.0,0,SS316L
1350.0,600.0,240.0,50.0,562.5,2,SS17-4PH
200.0,1000.0,35.0,35.0,110.0,0,SS316L
350.0,285.7142857,98.0,50.0,78.4,3,SS316L
375.0,370.0,100.0,50.0,160.0,0,SS316L
350.0,280.0,250.0,50.0,200.0,0,SS316L
407.9518,600.0,74.0,40.0,60.0,3,IN718
195.0,800.0,100.0,20.0,90.0,0,SS17-4PH
1350.0,600.0,240.0,50.0,0.5625,2,SS17-4PH
200.0,1000.0,80.0,50.0,40.0,0,SS17-4PH
120.0,200.0,50.0,60.0,40.0,3,SS17-4PH
140.0,950.0,100.0,0.02,0.05,3,IN718
400.0,3000.0,100.0,20.0,70.0,0,SS17-4PH
300.0,2000.0,80.0,50.0,40.0,2,SS17-4PH
350.0,80.0,500.0,100.0,400.0,0,SS316L
187.8529,550.0,74.0,40.0,55.0,3,IN718
277.5,160.0,100.0,50.0,80.0,0,SS316L
150.0,128.342246,187.0,50.0,380.0,1,SS316L
150.0,700.0,70.0,40.0,56.0,0,IN718
600.0,800.0,37.5,30.0,105.0,3,SS316L
200.0,600.0,55.0,75.0,40.0,0,SS316L
150.0,800.0,100.0,25.0,75.0,0,IN718
2700.0,2200.0,240.0,50.0,168.0,3,SS17-4PH
250.0,500.0,74.0,40.0,0.0592,3,IN718
300.0,1500.0,35.0,36.0,108.0,0,SS316L
300.0,2200.0,0.09,40.0,0.072,1,IN718
350.0,20.0,500.0,100.0,400.0,3,SS316L
352.9557,1200.0,74.0,30.0,60.0,3,IN718
150.0,64.17112299,187.0,50.0,168.3,0,SS316L
2700.0,1400.0,240.0,50.0,0.2142857143,3,SS17-4PH
310.0,310.0,100.0,50.0,0.16,0,SS316L
450.0,50.0,500.0,100.0,350.0,3,SS316L
230.0,1200.0,100.0,70.0,500.0,2,IN718
150.0,600.0,70.0,50.0,0.076923,1,SS316L
350.0,340.0,95.0,50.0,180.0,0,SS316L
400.0,1500.0,100.0,30.0,80.0,0,SS17-4PH
