Power,Velocity,beam D,layer thickness,Hatch spacing,defect_label,material
175.0,1050.0,20.0,35.0,42.0,0,Ti-6Al-4V
175.0,1250.0,20.0,35.0,36.0,0,Ti-6Al-4V
175.0,1450.0,20.0,35.0,30.0,0,Ti-6Al-4V
175.0,1050.0,20.0,35.0,45.0,0,Ti-6Al-4V
175.0,1250.0,20.0,35.0,0.036,0,Ti-6Al-4V
175.0,1450.0,20.0,35.0,28.0,0,Ti-6Al-4V
200.0,1500.0,20.0,20.0,0.06,0,Ti-6Al-4V
200.0,1500.0,20.0,20.0,58.0,0,Ti-6Al-4V
250.0,2000.0,20.0,20.0,50.0,0,Ti-6Al-4V
250.0,2000.0,20.0,20.0,55.0,0,Ti-6Al-4V
100.0,500.0,30.0,30.0,101.010101,0,Ti-6Al-4V
100.0,500.0,30.0,30.0,101.010101,0,Ti-6Al-4V
150.0,500.0,30.0,30.0,100.0,0,Ti-6Al-4V
150.0,750.0,30.0,30.0,101.010101,0,Ti-6Al-4V
150.0,1000.0,30.0,30.0,100.0,0,Ti-6Al-4V
150.0,500.0,30.0,30.0,100.0,0,Ti-6Al-4V
150.0,750.0,30.0,30.0,101.010101,0,Ti-6Al-4V
150.0,1000.0,30.0,30.0,100.0,0,Ti-6Al-4V
195.0,1000.0,30.0,30.0,100.0,0,Ti-6Al-4V
195.0,1200.0,30.0,30.0,100.308642,0,Ti-6Al-4V
195.0,1000.0,30.0,30.0,100.0,0,Ti-6Al-4V
195.0,1200.0,30.0,30.0,100.308642,0,Ti-6Al-4V
40.0,200.0,39.0,30.0,50.0,0,Ti-6Al-4V
40.0,200.0,39.0,30.0,60.0,0,Ti-6Al-4V
80.0,400.0,39.0,60.0,31.2,0,Ti-6Al-4V
80.0,200.0,39.0,30.0,121.2,0,Ti-6Al-4V
80.0,400.0,39.0,30.0,60.0,0,Ti-6Al-4V
80.0,600.0,39.0,30.0,35.0,0,Ti-6Al-4V
80.0,800.0,39.0,30.0,30.0,0,Ti-6Al-4V
80.0,200.0,39.0,30.0,121.2,0,Ti-6Al-4V
80.0,400.0,39.0,30.0,56.0,0,Ti-6Al-4V
80.0,600.0,39.0,30.0,34.0,0,Ti-6Al-4V
80.0,800.0,39.0,30.0,31.2,0,Ti-6Al-4V
120.0,400.0,39.0,60.0,0.036,0,Ti-6Al-4V
120.0,400.0,39.0,30.0,31.2,0,Ti-6Al-4V
120.0,600.0,39.0,30.0,60.0,0,Ti-6Al-4V
120.0,800.0,39.0,30.0,35.1,0,Ti-6Al-4V
120.0,1000.0,39.0,30.0,33.0,0,Ti-6Al-4V
120.0,1200.0,39.0,30.0,31.2,0,Ti-6Al-4V
120.0,400.0,39.0,30.0,85.0,0,Ti-6Al-4V
120.0,600.0,39.0,30.0,60.0,0,Ti-6Al-4V
120.0,800.0,39.0,30.0,35.9,0,Ti-6Al-4V
120.0,1000.0,39.0,30.0,32.0,0,Ti-6Al-4V
120.0,1200.0,39.0,30.0,31.2,0,Ti-6Al-4V
160.0,400.0,39.0,60.0,55.6,0,Ti-6Al-4V
160.0,400.0,39.0,30.0,120.0,0,Ti-6Al-4V
160.0,600.0,39.0,30.0,0.080808,0,Ti-6Al-4V
160.0,800.0,39.0,30.0,60.0,0,Ti-6Al-4V
160.0,1000.0,39.0,30.0,0.0381,0,Ti-6Al-4V
160.0,1200.0,39.0,30.0,33.0,0,Ti-6Al-4V
160.0,1400.0,39.0,30.0,31.746,0,Ti-6Al-4V
160.0,400.0,39.0,30.0,100.0,0,Ti-6Al-4V
160.0,600.0,39.0,30.0,80.0,0,Ti-6Al-4V
160.0,800.0,39.0,30.0,56.0,0,Ti-6Al-4V
160.0,1000.0,39.0,30.0,35.1,0,Ti-6Al-4V
160.0,1200.0,39.0,30.0,35.0,0,Ti-6Al-4V
160.0,1400.0,39.0,30.0,31.2,0,Ti-6Al-4V
120.0,400.0,95.0,40.0,75.0,0,Ti-6Al-4V
120.0,400.0,95.0,32.9,76.0,0,Ti-6Al-4V
150.0,1200.0,95.0,20.0,67.0,0,Ti-6Al-4V
150.0,600.0,95.0,30.0,70.0,0,Ti-6Al-4V
150.0,700.0,95.0,30.0,66.5,0,Ti-6Al-4V
150.0,900.0,95.0,25.0,66.5,0,Ti-6Al-4V
150.0,1200.0,95.0,0.02,0.0665,0,Ti-6Al-4V
150.0,600.0,95.0,30.0,76.0,0,Ti-6Al-4V
150.0,700.0,95.0,30.0,76.0,0,Ti-6Al-4V
150.0,900.0,95.0,25.0,70.0,0,Ti-6Al-4V
150.0,1200.0,95.0,20.0,66.5,0,Ti-6Al-4V
280.0,1200.0,100.0,30.0,140.0,0,Ti-6Al-4V
280.0,800.0,100.0,30.0,140.0,0,Ti-6Al-4V
280.0,1000.0,100.0,30.0,140.0,0,Ti-6Al-4V
280.0,1500.0,100.0,30.0,80.0,0,Ti-6Al-4V
280.0,1200.0,100.0,30.0,40.0,0,Ti-6Al-4V
280.0,1200.0,100.0,30.0,140.0,0,Ti-6Al-4V
280.0,800.0,100.0,30.0,140.0,0,Ti-6Al-4V
280.0,1000.0,100.0,30.0,140.0,0,Ti-6Al-4V
280.0,1500.0,100.0,30.0,80.0,0,Ti-6Al-4V
280.0,1200.0,100.0,30.0,160.0,0,Ti-6Al-4V
280.0,1200.0,100.0,30.0,40.0,0,Ti-6Al-4V
300.0,1200.0,100.0,30.0,40.0,0,Ti-6Al-4V
300.0,2000.0,100.0,30.0,40.0,0,Ti-6Al-4V
325.0,1200.0,100.0,30.0,140.0,0,Ti-6Al-4V
325.0,1200.0,100.0,30.0,140.0,0,Ti-6Al-4V
370.0,1200.0,100.0,30.0,140.0,0,Ti-6Al-4V
