Power,Velocity,beam D,layer thickness,defect_label,material
310.0,250.0,100.0,50.0,0.0,SS316L
220.0,1000.0,100.0,20.0,2.0,SS17-4PH
200.0,800.0,50.0,50.0,2.0,SS316L
75.0,800.0,50.0,60.0,3.0,Ti-6Al-4V
50.0,500.0,30.0,30.0,1.0,Ti-6Al-4V
75.0,800.0,50.0,60.0,3.0,Ti-6Al-4V
375.0,220.0,100.0,50.0,0.0,SS316L
2700.0,1600.0,240.0,50.0,3.0,SS17-4PH
342.5,220.0,100.0,50.0,0.0,SS316L
212.5,250.0,100.0,50.0,1.0,SS316L
200.0,2400.0,80.0,50.0,2.0,SS17-4PH
450.0,50.0,500.0,100.0,3.0,SS316L
310.0,280.0,100.0,50.0,0.0,SS316L
180.0,190.0,100.0,50.0,1.0,SS316L
60.0,0.6,45.0,25.0,0.0,SS316L
1350.0,1800.0,240.0,50.0,2.0,SS17-4PH
160.0,1000.0,39.0,60.0,1.0,Ti-6Al-4V
600.0,600.0,37.5,30.0,3.0,SS316L
82.5,100.0,100.0,50.0,1.0,SS316L
212.5,220.0,100.0,50.0,1.0,SS316L
200.0,1600.0,80.0,50.0,2.0,SS17-4PH
220.0,1200.0,100.0,20.0,2.0,SS17-4PH
100.0,150.0,55.0,75.0,3.0,SS316L
1800.0,2200.0,240.0,50.0,2.0,SS17-4PH
375.0,100.0,100.0,50.0,3.0,SS316L
147.5,250.0,100.0,50.0,1.0,SS316L
2700.0,1600.0,240.0,50.0,3.0,SS17-4PH
195.0,500.0,30.0,30.0,3.0,Ti-6Al-4V
195.0,1200.0,100.0,20.0,2.0,SS17-4PH
75.0,146.0,50.0,60.0,3.0,Ti-6Al-4V
200.0,1200.0,80.0,50.0,1.0,SS17-4PH
150.0,500.0,30.0,30.0,0.0,Ti-6Al-4V
212.5,310.0,100.0,50.0,1.0,SS316L
100.0,750.0,30.0,30.0,1.0,Ti-6Al-4V
245.0,160.0,100.0,50.0,0.0,SS316L
120.0,600.0,39.0,30.0,0.0,Ti-6Al-4V
150.0,1200.0,80.0,50.0,0.0,SS17-4PH
50.0,26.73796791,187.0,50.0,1.0,SS316L
115.0,100.0,100.0,50.0,1.0,SS316L
200.0,1000.0,90.0,30.0,3.0,SS316L
900.0,1200.0,240.0,50.0,2.0,SS17-4PH
150.0,1000.0,35.0,30.66666667,0.0,SS316L
150.0,64.17112299,187.0,50.0,0.0,SS316L
150.0,100.0,35.0,97.33333333,0.0,SS316L
310.0,400.0,100.0,50.0,1.0,SS316L
175.0,300.0,70.0,50.0,1.0,SS316L
150.0,500.0,35.0,43.33333333,0.0,SS316L
300.0,500.0,35.0,61.0,0.0,SS316L
100.0,700.0,37.5,30.0,0.0,SS316L
195.0,600.0,100.0,20.0,0.0,SS17-4PH
220.0,1100.0,100.0,20.0,2.0,SS17-4PH
195.0,800.0,100.0,20.0,0.0,SS17-4PH
200.0,1000.0,90.0,30.0,3.0,SS316L
200.0,1000.0,80.0,50.0,0.0,SS17-4PH
100.0,500.0,35.0,36.66666667,0.0,SS316L
245.0,370.0,100.0,50.0,1.0,SS316L
375.0,340.0,95.0,50.0,3.0,SS316L
310.0,130.0,100.0,50.0,3.0,SS316L
50.0,32.25806452,248.0,50.0,1.0,SS316L
200.0,850.0,90.0,30.0,3.0,SS316L
280.0,1500.0,100.0,30.0,0.0,Ti-6Al-4V
245.0,280.0,100.0,50.0,1.0,SS316L
100.0,455.0,50.0,60.0,3.0,Ti-6Al-4V
250.0,2000.0,20.0,20.0,0.0,Ti-6Al-4V
150.0,750.0,30.0,30.0,0.0,Ti-6Al-4V
375.0,130.0,95.0,50.0,3.0,SS316L
150.0,600.0,80.0,50.0,0.0,SS17-4PH
80.0,1200.0,39.0,30.0,1.0,Ti-6Al-4V
195.0,1100.0,100.0,20.0,2.0,SS17-4PH
150.0,153.0612245,98.0,50.0,0.0,SS316L
550.0,235.2941176,187.0,50.0,0.0,SS316L
220.0,600.0,100.0,20.0,0.0,SS17-4PH
80.0,1000.0,39.0,30.0,1.0,Ti-6Al-4V
375.0,100.0,95.0,50.0,3.0,SS316L
325.0,1200.0,100.0,30.0,0.0,Ti-6Al-4V
450.0,385.026738,187.0,50.0,0.0,SS316L
200.0,2000.0,20.0,20.0,1.0,Ti-6Al-4V
50.0,42.78074866,187.0,50.0,1.0,SS316L
100.0,1200.0,100.0,30.0,1.0,Ti-6Al-4V
250.0,1500.0,35.0,33.33333333,0.0,SS316L
170.0,900.0,100.0,20.0,0.0,SS17-4PH
82.5,160.0,100.0,50.0,1.0,SS316L
1800.0,1600.0,240.0,50.0,2.0,SS17-4PH
277.5,310.0,100.0,50.0,1.0,SS316L
195.0,700.0,100.0,20.0,0.0,SS17-4PH
277.5,400.0,100.0,50.0,1.0,SS316L
300.0,1200.0,100.0,30.0,0.0,Ti-6Al-4V
245.0,100.0,100.0,50.0,3.0,SS316L
900.0,900.0,240.0,50.0,2.0,SS17-4PH
250.0,500.0,35.0,56.66666667,0.0,SS316L
277.5,400.0,100.0,50.0,1.0,SS316L
150.0,2500.0,35.0,20.0,0.0,SS316L
350.0,50.0,500.0,100.0,0.0,SS316L
180.0,190.0,100.0,50.0,1.0,SS316L
350.0,20.0,500.0,100.0,3.0,SS316L
82.5,100.0,100.0,50.0,1.0,SS316L
450.0,641.7112299,187.0,50.0,1.0,SS316L
250.0,106.9518717,187.0,50.0,0.0,SS316L
120.0,1600.0,39.0,30.0,2.0,Ti-6Al-4V
900.0,1000.0,240.0,50.0,2.0,SS17-4PH
250.0,161.2903226,248.0,50.0,1.0,SS316L
100.0,146.0,50.0,60.0,3.0,Ti-6Al-4V
1800.0,800.0,240.0,50.0,2.0,SS17-4PH
120.0,400.0,39.0,30.0,0.0,Ti-6Al-4V
342.5,340.0,100.0,50.0,0.0,SS316L
50.0,1000.0,50.0,60.0,3.0,Ti-6Al-4V
250.0,80.0,500.0,100.0,1.0,SS316L
147.5,160.0,100.0,50.0,1.0,SS316L
165.0,1200.0,100.0,30.0,1.0,Ti-6Al-4V
375.0,370.0,100.0,50.0,0.0,SS316L
310.0,130.0,100.0,50.0,3.0,SS316L
2700.0,1200.0,240.0,50.0,3.0,SS17-4PH
40.0,1200.0,39.0,30.0,1.0,Ti-6Al-4V
300.0,100.0,78.0,50.0,3.0,SS316L
350.0,952.3809524,98.0,50.0,0.0,SS316L
200.0,850.0,90.0,30.0,3.0,SS316L
300.0,2600.0,80.0,50.0,2.0,SS17-4PH
200.0,100.0,78.0,50.0,3.0,SS316L
147.5,190.0,100.0,50.0,1.0,SS316L
120.0,1400.0,39.0,30.0,2.0,Ti-6Al-4V
50.0,71.30124777,187.0,50.0,1.0,SS316L
80.0,800.0,39.0,30.0,0.0,Ti-6Al-4V
150.0,1000.0,30.0,30.0,0.0,Ti-6Al-4V
277.5,220.0,100.0,50.0,0.0,SS316L
250.0,100.8064516,248.0,50.0,1.0,SS316L
100.0,455.0,50.0,60.0,3.0,Ti-6Al-4V
